Player,RND,KPR,APR,FKPR,KMAX
"Chax
BOBO",34,0.88,0.21,0.15,30
"Fit1nho
GX",20,0.80,0.15,0.15,16
"Miyori
GX.GC",106,0.95,0.24,0.18,35
"Daveeski
PMT",99,0.76,0.28,0.17,19
"saadhak
LOUD",106,0.75,0.26,0.10,19
"seezy
LAG",16,1.06,0.13,0.00,17
"prozin
TBK",65,0.85,0.34,0.20,28
"xelouz
UNT",23,0.78,0.87,0.04,18
Answerz,23,1.00,0.13,0.13,23
mateo,23,0.83,0.17,0.09,19
Kurdi,24,0.71,0.29,0.08,17
"hype
APK",58,0.79,0.12,0.16,19
"benjyfishy
TH",59,0.83,0.08,0.00,19
"johnqt
SEN",116,0.65,0.32,0.06,21
"alvar
GMX",22,0.86,0.14,0.23,19
"M1kE
EDGE",87,0.86,0.13,0.07,23
Zodiac,23,0.83,0.13,0.17,19
"Crunchy
BOBO",71,0.73,0.38,0.11,21
"Dreamas
MZP",104,0.73,0.13,0.11,21
mal,75,0.80,0.20,0.07,23
"Fweshest
FC",44,0.84,0.34,0.07,22
"ZIDIAN
RGS",19,0.84,0.47,0.05,16
Toodles,21,0.90,0.00,0.14,19
"NagZ
RETA",17,0.88,0.24,0.06,15
"LiNLiN
AKV.GC",22,0.64,0.55,0.14,14
"Yoshiii
SZ",26,0.92,0.04,0.12,24
"King
DRGN",162,0.80,0.29,0.08,27
"cataLina
ZER.M",21,0.76,0.29,0.19,16
"pollo
OLP",44,0.93,0.05,0.25,23
"Xan
LZE",21,0.76,0.24,0.10,16
"l0udly
RBT",21,0.67,0.19,0.05,14
"Joliinaa
GX.GC",106,0.78,0.37,0.05,25
"Momiji
Fish",40,0.73,0.25,0.10,18
"Blahst
ZMM.B",66,0.71,0.11,0.06,18
"ritsu
Gala",22,0.91,0.09,0.00,20
Sorrow,47,0.81,0.32,0.13,23
"lurzy0y0
GAL",21,0.76,0.14,0.10,16
"Kestrel
PDF",18,0.83,0.17,0.22,15
"Jonaaa6
ZMM.B",19,0.68,0.26,0.05,13
"KIMCHI
UT",23,0.74,0.26,0.09,17
"trexx
VIT",62,0.74,0.76,0.10,21
"39Jia
AUR",42,0.60,0.33,0.07,15
"Elixllo
GK",88,0.81,0.31,0.06,21
"Sand
EGYPT",75,0.79,0.17,0.11,19
phuq,26,0.69,0.08,0.04,18
"stew
SFU.P",76,0.72,0.25,0.01,15
"ACHRF
OXR",123,0.71,0.31,0.07,20
"deNaro
RED",65,0.57,0.26,0.05,17
"Juicy
DSG",23,0.87,0.13,0.26,20
"blowz1n
OLP",44,0.75,0.41,0.02,23
"kas
ASU",18,0.78,0.17,0.11,14
"HyP
MDR",21,0.95,0.19,0.19,20
"Br1ckzl
VIS",123,0.79,0.25,0.07,23
"Kevzii
ZOL",46,0.85,0.15,0.11,22
"WicK
DG",19,1.21,0.05,0.11,23
"Kishi
FCY",38,0.74,0.29,0.16,14
"bones
YFP",38,0.74,0.18,0.18,16
"Mayy
ZEN.GC",42,0.69,0.45,0.12,15
"Unhappy
ROA",36,0.72,0.11,0.14,15
"Muzz
BOBO",105,0.82,0.20,0.11,26
"Mikey Tap
FG",23,0.61,0.57,0.09,14
"W1nner
GFN",67,0.79,0.12,0.15,23
