Player,RND,KPR,APR,FKPR,KMAX
"cortezia
RED",38,0.82,0.55,0.11,20
"astr0
1MS",48,0.79,0.63,0.15,22
"dth
KAMI",24,1.04,0.33,0.04,25
"lz
2G",20,1.00,0.40,0.30,20
"MaKo
DRX",42,0.88,0.36,0.19,19
Troizyxgod,18,0.67,0.33,0.06,12
"payne
ASTA",39,0.59,0.59,0.00,12
"Kiuuuu
LGD",66,0.86,0.39,0.05,22
"Vania
G2.G",61,0.92,0.26,0.05,25
"juseu
DVM",18,0.89,0.17,0.11,16
"Verno
OXG",22,0.82,0.27,0.05,18
"Ange
MAD",24,0.71,0.29,0.04,17
"luiza
BD.FEM",24,0.71,0.21,0.13,17
"Nescargot
Team",16,0.63,0.31,0.00,10
"phequa
The",64,1.08,0.14,0.25,32
"Turko
FF",54,0.78,0.28,0.07,23
"azys
MLT",41,1.02,0.22,0.17,29
"Sp1ke
CG",38,0.71,0.39,0.21,15
"LiriLia
KC.GC",22,0.73,0.50,0.23,16
"Korsonix
TOR",21,0.86,0.24,0.05,18
"FakeAnanas
Sila",18,0.83,0.50,0.06,15
"rawfiul
MLT",41,0.71,0.27,0.12,18
"Alicita
Team",16,0.88,0.38,0.00,14
"Cryocells
100T",42,0.86,0.48,0.07,18
"exy
DK",68,0.84,0.35,0.06,21
"keloqz
DVM",18,1.06,0.11,0.33,19
"CRUNCH
Illu",26,0.85,0.08,0.12,22
"WanZeru
B8",21,0.86,0.24,0.10,18
"Atenazzz
ZEN.GC",16,0.81,0.19,0.06,13
"dos9
RVNT",71,0.90,0.24,0.14,20
Noor,42,0.76,0.33,0.10,17
"Jazzyk1ns
COL",68,0.87,0.25,0.19,19
"sScary
BLD",20,0.75,0.30,0.10,15
"Click
SK",48,1.08,0.13,0.33,27
"rDeeW
JJH",40,0.88,0.25,0.10,19
"Akira
IGW",24,0.83,0.25,0.13,20
"Dragon
JJH",40,0.90,0.60,0.10,19
"DaviH
CGN",64,0.81,0.27,0.08,19
"Evilkyk
GLRS",69,0.74,0.43,0.07,20
"zekken
SEN",91,0.93,0.26,0.24,27
"Insider
KPI",58,0.90,0.19,0.14,30
"iluri
MOUZ",45,0.80,0.40,0.02,21
GodsB,26,0.92,0.23,0.12,24
"55EE
JDG",66,1.00,0.15,0.24,23
"HearthBeat
MZP",44,0.84,0.34,0.07,22
"Cfax
YDZ.B",26,0.92,0.08,0.04,24
"Dano
FSX",24,0.75,0.58,0.04,18
grahams,20,0.95,0.30,0.15,19
"coconut
OF",66,0.82,0.24,0.12,19
"grubinho
KOI",24,0.92,0.58,0.08,22
"Kanpeki
TWT",50,0.86,0.44,0.04,22
"dgzin
HERO",19,0.95,0.21,0.11,18
"Jelly
MIBR",70,0.86,0.24,0.13,23
"nightz
ASTA",39,0.92,0.23,0.23,19
"prince
TBK",54,0.78,0.19,0.15,19
"lumieexy
Leva",20,0.75,0.55,0.05,15
"emluo
FLY.R",19,0.89,0.21,0.26,17
"Moh
FLC",31,0.65,0.71,0.10,14
NOVAE,16,1.00,0.19,0.25,16
"Kestrel
PDF",23,0.78,0.13,0.22,18
"N4RRATE
KC",67,0.72,0.39,0.12,20
"H1ber
CASE",42,0.74,0.29,0.05,16
"Akame
RC",34,0.91,0.18,0.18,31
"benjii
the",23,0.70,0.48,0.13,16
"k1zpawn
SAW",43,0.70,0.49,0.07,15
"senyorcarl
1MS",48,0.92,0.10,0.23,25
"nihggo
VENI",20,1.10,0.15,0.30,22
"tok1o
Sduf",18,0.94,0.17,0.06,17
"wavy
Equi",21,0.81,0.24,0.14,17
Hakka,21,0.71,0.38,0.10,15
"tex
LEV",17,0.65,0.24,0.18,11
"Hermes
DK",68,0.79,0.46,0.13,22
snarly,24,0.92,0.25,0.13,22
"shelbyN
EBG",43,0.95,0.21,0.05,23
"Addicted
SAW",43,0.79,0.28,0.09,18
"marteen
KC",67,0.87,0.19,0.19,23
"jademwah
NB",70,0.91,0.19,0.19,30
"BRYAN
UCD",22,0.77,0.50,0.18,17
"DataKiller
Six",26,0.81,0.42,0.00,21
"Ri0
OGS",21,0.81,0.24,0.14,17
"Nabber
TAMU",21,0.90,0.29,0.14,19
Forcee,44,0.77,0.34,0.07,18
"sawamura
RRQ.K",20,1.10,0.15,0.15,22
"opTED
Boom",18,0.89,0.33,0.33,16
"MERZ
IW",45,0.78,0.40,0.09,20
"Buld
GN",71,0.79,0.48,0.11,16
"haint
OPY",43,0.81,0.21,0.02,19
"signed
JJH",40,0.88,0.35,0.08,20
"Keiko
TL",20,0.90,0.25,0.25,18
"v1nny
RED",38,0.92,0.32,0.11,21
"vAgue
UNT",26,1.00,0.15,0.23,26
"fausTao
ARF",40,0.85,0.25,0.28,18
"Sayf
VIT",22,0.77,0.27,0.05,17
"exempt
RNP",64,0.70,0.39,0.02,19
"VuexLex
MNC",22,1.09,0.09,0.18,24
"kayle
NDG",21,0.86,0.19,0.05,18
"Kel
1MS",24,0.83,0.46,0.08,20
"Chronicle
FNC",18,0.67,0.39,0.11,12
"ZmjjKK
EDG",63,0.78,0.54,0.14,21
"Zap
2G",20,0.90,0.20,0.10,18
"Chanyboi
BNB",48,0.83,0.40,0.02,27
"cgrs
MITH",47,0.85,0.17,0.09,25
"anders
IU",18,0.67,0.28,0.06,12
"Quick
LOUD",45,0.84,0.22,0.18,24
"waved
LOUD.GC",22,0.86,0.18,0.41,19
"blowz1n
OLP",44,0.93,0.20,0.18,23
"Kero
tgz",19,0.84,0.58,0.05,16
"vascalizz
MBH",45,0.76,0.29,0.07,21
"Sillyseal27
KS",42,0.86,0.26,0.19,21
"zenox
DTL",64,0.88,0.28,0.13,24
"PapiChulo
NAOS",56,0.80,0.34,0.02,20
"Filu
DSY",41,0.98,0.20,0.29,24
"TheNightChe
MNC",22,0.77,0.32,0.05,17
"Crus
FCY",40,0.90,0.23,0.13,20
Heather,45,0.67,0.49,0.02,18
"Kylee
ARF",40,0.83,0.15,0.25,18
Kali9su,21,0.86,0.33,0.10,18
"PoomOneLove
NKT",65,0.72,0.46,0.09,17
"seph1roth
MITH",47,0.89,0.11,0.11,27
"d3ffo
VLNT",39,0.82,0.15,0.26,19
"SimonD4rk
R8",89,0.83,0.16,0.18,25
"GodDead
ODG",18,0.94,0.44,0.11,17
"Add3r
TTR",24,0.75,0.33,0.17,18
case,23,0.78,0.22,0.13,18
"samed
DIV",61,0.90,0.13,0.20,21
"david
9z",70,0.84,0.36,0.06,25
"niffy
AAA",18,0.89,0.17,0.22,16
"Inumo
VCTRY",16,1.00,0.19,0.13,16
RESLYDE,19,0.89,0.16,0.21,17
"In0X
WVU",43,0.88,0.26,0.37,23
Clewy,28,0.79,0.25,0.04,22
"Divine
SGP",35,0.74,0.40,0.03,16
"kv7m
UNta",70,0.74,0.50,0.01,20
