Player,RND,KPR,APR,FKPR,KMAX
"OXY
C9",22,0.95,0.36,0.32,21
"L1NK
UCAM",16,0.94,0.13,0.19,15
"39Jia
AUR",18,0.89,0.44,0.17,16
"miNt
FL.GC",47,0.89,0.23,0.30,23
MOCKING,45,0.73,0.42,0.07,18
"gin
FCY",21,0.86,0.38,0.29,18
"Fantasmitawr
OWO",18,0.89,0.61,0.06,16
"Floaty
CSUL",39,0.85,0.21,0.10,18
"gobera
LGCY",92,0.89,0.23,0.23,26
"JitBoyS
TLN",68,0.76,0.26,0.07,24
"Babytz
FSS",38,0.74,0.26,0.16,16
"TenZ
SEN",161,0.78,0.52,0.12,25
"Turko
FF",91,0.77,0.21,0.07,25
Tiezzi,18,0.72,0.22,0.22,13
"rezq
G2.G",20,0.85,0.40,0.20,17
"maniek
BAR",24,1.08,0.17,0.13,26
"Dext
EX0",22,0.77,0.32,0.14,17
"AvovA
APK",62,0.68,0.40,0.02,16
"LEW
JJH",44,0.86,0.25,0.18,23
"Jremy
TS",57,0.91,0.14,0.19,19
"Kibojn
MDL",66,0.76,0.32,0.05,19
"pyrolll
EX0",22,0.95,0.23,0.09,21
"leaf
G2",38,0.82,0.11,0.11,19
"NicoMachine
AK",37,0.92,0.16,0.24,17
Chintu,24,0.92,0.50,0.21,22
"bdog
TTR",107,0.72,0.56,0.07,23
"Leyre
MDK",71,0.89,0.44,0.15,22
colby,55,0.78,0.27,0.11,21
"roompa
VLYN",23,0.78,0.57,0.09,18
Vince,22,0.86,0.23,0.09,19
"r1seN
CG",69,0.77,0.13,0.09,21
EQUINOX,15,0.67,0.13,0.13,10
"jeyj7y
S2G",26,0.73,0.46,0.04,19
"BE
KBLD",24,0.75,0.79,0.04,18
"Melser
KRÜ",20,0.75,0.25,0.05,15
"keloqz
DVM",42,0.93,0.14,0.31,22
"illumi
ANTC",22,1.05,0.18,0.23,23
"Karina
FKS.S",47,0.91,0.28,0.06,25
"ZachaREEE
CB",48,0.96,0.27,0.17,24
"vAgue
UNT",152,0.95,0.14,0.24,31
"Akashi
3T",17,0.59,0.59,0.12,10
"AloNeFillz
AAA",59,0.81,0.37,0.10,25
"Jiex
KPI.S",20,0.90,0.10,0.20,18
"cortezia
RED",48,0.63,0.42,0.13,16
"Dreamas
MZP",23,0.87,0.17,0.09,20
"DESTRUCT1VEE
GAL",80,0.95,0.29,0.19,24
"empty
ONS",45,0.78,0.31,0.07,19
DariusBBCDanis,22,0.73,0.50,0.09,16
"Leo
FNC",100,0.72,0.32,0.08,26
"Siduzord
STE",131,0.70,0.29,0.07,24
"Yuta
CG",23,0.61,0.22,0.09,14
"satellite
VLYN",23,0.83,0.17,0.17,19
"Kess
UT",40,0.83,0.40,0.08,17
ngk,48,0.88,0.46,0.04,22
"S1Mon
JDG",18,1.06,0.33,0.06,19
"Glance
KC.GC",84,0.71,0.49,0.10,23
"Dev0
NXT",22,0.95,0.09,0.09,21
"mimi
BOBE",20,0.85,0.20,0.15,17
"skuba
OXG",45,0.71,0.33,0.07,17
"Polkan
IluZ",20,0.90,0.45,0.00,18
"shion
OLP",67,0.72,0.24,0.10,24
"Reverie
KZ",119,0.68,0.52,0.07,21
"taka
SGZ",39,0.95,0.23,0.15,20
"Click
SK",46,0.93,0.15,0.28,29
"Estrella
RRQ",36,0.72,0.42,0.03,13
"Ayanami
UxMi",20,0.85,0.35,0.05,17
"Jesmu
OF",19,0.95,0.16,0.05,18
"Bing Chilling
TAMU",20,0.75,0.40,0.10,15
"bones
YFP",45,0.78,0.31,0.11,23
"cgrs
MITH",64,0.78,0.25,0.02,25
"ginger
aTTaX",17,1.06,0.18,0.12,18
"NagZ
RETA",21,0.67,0.19,0.05,14
"Syllene
FF",20,0.95,0.05,0.05,19
"Jinboong
SG",77,0.82,0.22,0.06,22
"jjasonl
Thug",18,0.78,0.44,0.00,14
"GatsH
CASE",18,0.67,0.39,0.06,12
"Grmekista
DIA",94,0.69,0.46,0.07,21
"DaFt
VIC",18,0.89,0.06,0.28,16
"ALL3Y
OPY",71,0.85,0.06,0.23,23
"niffy
AAA",59,0.90,0.17,0.17,30
"Natalcia
INC.GC",45,0.87,0.22,0.09,21
"icy
BNDT",15,0.80,0.20,0.13,12
"Pkm
NS",79,0.87,0.15,0.16,32
"inf
TM",119,0.80,0.11,0.13,27
"glo
SFU.P",59,0.63,0.42,0.07,18
"splash
NXGA",81,0.98,0.22,0.17,26
"Feels
19",24,0.71,0.21,0.25,17
"Cain
Torc",59,0.68,0.51,0.02,21
"Venka
GRY",40,0.85,0.15,0.08,18
"ness
GX.GC",82,0.79,0.35,0.12,21
"Eso177
OXR",47,0.81,0.06,0.23,25
"sociablEE
FF",91,0.73,0.40,0.10,21
"ray4c
AE",108,0.93,0.25,0.16,25
"Jango
Team",24,0.75,0.13,0.13,18
"Kamiunist
YFP",22,0.77,0.36,0.00,17
"Techno
TRS",36,0.67,0.47,0.03,14
"dip
VZ",86,0.74,0.30,0.13,20
"c4Lypso
VLYN",23,0.91,0.04,0.30,21
"PinOcchiOs
SPE",24,0.88,0.58,0.13,21
lazy,24,0.92,0.21,0.21,22
"GLYPH
MR",61,0.85,0.33,0.10,19
"austifrosti
TAMU",20,0.80,0.05,0.10,16
"Aryu
TRS",36,0.75,0.17,0.06,14
"ip0TT
GAL",80,0.94,0.11,0.15,22
"Izzy
SUP",46,0.80,0.17,0.24,22
"BALLI
HGE",19,0.84,0.21,0.16,16
"Kiuuuu
LGD",114,0.83,0.30,0.08,28
"matrix
KC.GC",84,0.83,0.21,0.24,25
"brawk
MxS",45,0.64,0.24,0.02,18
"Zimo
Twis",219,0.76,0.32,0.09,34
Dephny,30,0.80,0.47,0.07,24
"nAts
TL",53,0.70,0.21,0.06,21
"Xdll
FL",71,0.86,0.30,0.14,23
"zeek
GN",97,0.78,0.41,0.07,30
"Zap
2G",74,0.76,0.19,0.11,30
"STYRON
SGP",41,0.76,0.39,0.02,20
"bipo
NOVO",58,0.79,0.21,0.14,25
"blowz1n
OLP",67,0.82,0.24,0.19,21
aLEK94,22,0.91,0.18,0.23,20
"Goaster
MDR",65,0.82,0.12,0.14,20
"marky
OAS",35,0.69,0.69,0.06,15
"Akira
IGW",64,0.95,0.33,0.11,32
GodsB,20,0.95,0.20,0.20,19
"Bangnan
VL",61,0.97,0.16,0.21,22
"Chloe
FIRE",26,0.69,0.58,0.04,18
"jas
JL",86,0.80,0.17,0.16,23
"Sato
GLRS",104,0.88,0.17,0.19,22
"tokameite
KPI.S",44,0.80,0.36,0.16,24
"Adenina
9z.GC",68,0.71,0.50,0.04,23
"NakJi
LFG",64,0.73,0.39,0.11,19
"ZachKappa
CHCH",113,0.74,0.34,0.07,25
"yoman
NS",79,0.68,0.33,0.09,20
"MERZAA
Atla",22,0.82,0.09,0.14,18
"stellar
TTR",107,0.75,0.36,0.07,23
"Kaha
INC.GC",45,0.69,0.42,0.07,16
"emluo
FLY.R",48,0.77,0.10,0.10,22
AlphaQ,42,0.86,0.12,0.14,20
"xanarchy
SGE",42,0.88,0.14,0.12,19
"Black
OPY",71,0.69,0.39,0.10,21
"Sayaplayer
T1",86,0.84,0.16,0.26,19
"xeus
HOWL",20,0.75,0.15,0.15,15
"MiniBoo
TH",97,0.85,0.25,0.18,25
"Cebando
AK",37,0.68,0.35,0.11,13
"benG
XS",19,0.89,0.21,0.00,17
"AKUMAAAAA
MDR",65,0.83,0.29,0.20,20
"xccurate
T1",86,0.80,0.07,0.12,21
"xelouz
UNT",152,0.63,0.49,0.03,19
"moner
R8",39,0.67,0.03,0.05,17
"yoonited
DG",26,0.54,0.58,0.12,14
"Mistic
TL",53,0.74,0.32,0.09,23
"MiLuan
S2",64,0.70,0.39,0.02,16
"tdawgg
QOR",21,0.52,0.33,0.19,11
"MARCTYLINHO
DVM",42,0.81,0.26,0.12,24
"JayH
DSG",128,0.71,0.37,0.08,22
"k1ngkappa
THE",138,0.89,0.25,0.17,28
"Insider
KPI",16,0.63,0.50,0.06,10
"Foxy9
DRX",21,0.71,0.24,0.05,15
"Kylee
ARF",152,0.73,0.38,0.14,26
"Morgausse
N8V",22,0.73,0.36,0.18,16
K1LANI,22,0.55,1.05,0.05,12
"IKANA
GZL",115,0.77,0.36,0.06,22
"ting2k5
FPT",21,0.67,0.19,0.14,14
"kiss
Dead",115,0.87,0.21,0.23,24
"Alfajer
FNC",100,0.76,0.16,0.11,24
"Mited
EXL",21,0.71,0.38,0.00,15
