Player,RND,KPR,APR,FKPR,KMAX
"quantumrino
PMT",51,0.78,0.12,0.20,21
"Kakarot
ZOL",61,0.82,0.21,0.13,20
"Cloud
GX",55,0.75,0.20,0.07,16
"marteen
KC",37,0.78,0.14,0.24,15
"SimonD4rk
R8",65,0.75,0.22,0.12,17
"Tonbo
FL",28,0.75,0.21,0.07,21
"Cohburg
SAD",19,0.79,0.26,0.21,15
"Sueiy
WSU",22,0.77,0.18,0.09,17
"Kanpeki
TWT",70,0.76,0.34,0.06,21
"JinNy
FSS",21,0.67,0.29,0.05,14
"kitkatwc
NE",21,0.71,0.24,0.05,15
Juzo,16,0.94,0.19,0.00,15
"ayman
BZE",33,0.85,0.18,0.18,18
"jzz
MIBR",39,0.72,0.26,0.10,18
"C0M
LEV",19,0.68,0.16,0.11,13
"Filu
DSY",53,0.81,0.23,0.13,19
"babzzz
ZIK",59,0.76,0.25,0.14,22
"B1SK
KPI",19,0.63,0.26,0.21,12
"Winteryrook
R8",65,0.78,0.25,0.17,21
"rezq
G2.G",81,0.78,0.16,0.19,19
"aproto
TSM",64,0.75,0.13,0.06,18
"B3ASTM0D3
OVA",23,0.65,0.43,0.09,15
"isa1
isa",50,0.80,0.12,0.16,23
"krejzzs
INCO",18,0.89,0.00,0.06,16
"moner
R8",65,0.65,0.20,0.09,17
"Timotino
ROSE",21,0.81,0.24,0.19,17
"Askia
HERO",71,0.63,0.52,0.06,15
"madison
Irre",28,0.89,0.21,0.11,25
"Meteor
GEN",77,0.77,0.31,0.08,19
"nihggo
VENI",20,0.65,0.30,0.10,13
"raafa
HERO",71,0.65,0.28,0.04,22
"noumit
KOPF",65,0.68,0.14,0.08,21
"Sinaway
AIC",23,1.00,0.26,0.13,23
"florescent
SR",67,0.84,0.28,0.07,21
"silentzz
2G",24,0.75,0.08,0.21,18
"Lateu
fuVi",24,0.71,0.21,0.00,17
"rood
GLRS",40,0.58,0.18,0.03,14
"RedKoh
LESS",82,0.68,0.17,0.07,16
"aduka
NXGA",20,0.80,0.45,0.15,16
"Lmemore
RRQ",23,0.74,0.48,0.04,17
"nTK
BAAM",18,0.72,0.11,0.11,13
"swagzor
Orac",20,0.80,0.20,0.00,16
"lukxo
GLRS",40,0.65,0.33,0.15,15
"puggy
FMG",23,0.61,0.30,0.09,14
"anesilia
GMX.L",24,0.71,0.29,0.13,17
"astr0
1MS",24,0.88,0.21,0.08,21
"logaN
M8",19,0.74,0.11,0.05,14
"amy
G2.G",81,0.67,0.16,0.02,19
"Spocki
Bloo",23,0.70,0.13,0.09,16
"deNaro
RED",109,0.67,0.37,0.06,21
"nataNk
M8",19,0.84,0.26,0.11,16
"Menna
FSX",22,0.68,0.41,0.00,15
"Tim
ZMM.B",18,0.78,0.11,0.11,14
"6sonya
O1O",24,0.67,0.38,0.08,16
Four,21,0.67,0.19,0.05,14
"Adenina
9z.GC",59,0.64,0.44,0.03,19
"quens1on
RC",18,0.94,0.17,0.06,17
"freeing
DK",68,0.75,0.21,0.06,22
"Logan
Burg",41,0.90,0.07,0.22,22
"BeYN
DRX",22,0.73,0.18,0.09,16
"micaela
KRÜ.B",22,0.64,0.36,0.14,14
"NcSlasher
BME",34,0.71,0.29,0.12,24
"gMd
TSM",64,0.75,0.31,0.08,23
"Palla
puGG",91,0.89,0.11,0.24,27
"bae
FUR.F",24,0.75,0.13,0.04,18
"BuZz
DRX",22,0.82,0.14,0.05,18
"ALL3Y
OPY",24,0.83,0.04,0.13,20
"BORKUM
TS",45,0.73,0.40,0.13,19
Dephny,17,0.82,0.24,0.24,14
"Kevzii
ZOL",61,0.62,0.31,0.03,17
"PoomOneLove
NKT",48,0.69,0.46,0.06,23
"Rudy
UCF.G",24,0.58,0.42,0.08,14
Heather,37,0.86,0.19,0.05,16
DYoung,21,0.81,0.10,0.29,17
"Rexon
EYG",23,0.61,0.43,0.09,14
"Kaah
Team",50,0.72,0.32,0.06,23
Clewy,67,0.81,0.18,0.09,25
ChiaWei,23,0.74,0.26,0.04,17
"Melser
KRÜ",20,0.60,0.40,0.10,12
"Petra
G2.G",81,0.69,0.23,0.07,16
Caucasus,17,0.47,0.35,0.00,8
"anders
IU",30,0.53,0.20,0.07,16
"CHIMEI
OF",23,0.57,0.61,0.04,13
"Happen
PMT",51,0.75,0.25,0.08,24
"Medusa
DFM",22,0.73,0.32,0.23,16
"Kibojn
MDL",43,0.60,0.56,0.02,18
"ExciteMVP
NBG",23,0.78,0.26,0.04,18
"Nightmare
UCF.G",24,0.58,0.50,0.04,14
"xiTsha
DIA",44,0.82,0.25,0.05,19
Yoyoman,26,0.85,0.08,0.12,22
"Nille
WHO",38,0.82,0.32,0.03,31
"Lynn
FIRE",43,0.79,0.14,0.19,20
"al0rante
FKS",26,0.81,0.12,0.04,21
"spike
2G",24,0.79,0.13,0.04,19
"Akita
CG.GC",30,0.80,0.13,0.10,24
"Reapy
Irre",28,0.71,0.07,0.14,20
"poegii
Ging",22,0.55,0.14,0.05,12
"Cebando
AK",40,0.65,0.33,0.10,13
"Leo
FNC",37,0.73,0.38,0.03,18
"Docent
KAST",47,0.70,0.26,0.06,17
"Aeonyx
GLAB",43,0.86,0.19,0.09,19
Bob Ross,44,0.86,0.11,0.07,23
"reN
BZE",33,0.70,0.45,0.09,13
"ZYND
ZOL",61,0.77,0.21,0.16,20
"H1ber
CASE",21,0.71,0.10,0.00,15
"chiwa
ACE",41,0.61,0.22,0.15,15
lovers rock,108,0.86,0.15,0.16,32
YanLi,23,0.83,0.13,0.13,19
"Lime
CASE",21,0.71,0.33,0.00,15
"gobera
LGCY",60,0.73,0.17,0.17,19
"Juicy
DSG",80,0.80,0.18,0.18,21
exa,31,0.68,0.42,0.16,11
"Lele
VENI",20,0.70,0.25,0.05,14
"Floaty
CSUL",44,0.80,0.14,0.09,21
"HyP
MDR",20,0.80,0.25,0.20,16
"budimeisteR
BME",34,0.62,0.38,0.00,21
nvk,14,0.86,0.29,0.07,12
"Jerrwin
SEN",22,0.73,0.05,0.18,16
"OLIZERA
UCAM",19,0.84,0.26,0.11,16
"Flickless
UCAM",19,0.84,0.21,0.11,16
"zery
DIV",23,0.74,0.43,0.09,17
"Flossie
FIRE",43,0.74,0.35,0.05,17
"Boo
TH",39,0.56,0.49,0.05,15
"Serenity
GHR",18,0.94,0.00,0.22,17
"meL
SR",67,0.66,0.34,0.07,26
"xeus
HOWL",47,0.89,0.06,0.28,25
"Lakia
GEN",77,0.58,0.30,0.10,16
"AleDa
Tama",30,0.60,0.30,0.13,18
idkman,14,0.93,0.00,0.14,13
"Ali
the",16,1.00,0.13,0.38,16
Repulsive,40,0.58,0.33,0.03,17
"Deadly10
MDL",43,0.88,0.21,0.23,26
"Flaring
AE",82,0.50,0.57,0.00,12
"Lied
FSX",52,0.77,0.31,0.10,22
"exy
DK",68,0.60,0.38,0.03,21
"Jesse
VLNT",43,0.70,0.23,0.09,17
"RxYaL
ONLI",51,0.73,0.16,0.06,25
"Mon Ciel
Repl",30,0.80,0.13,0.00,24
"Kicks
VIT",42,0.60,0.55,0.05,13
"Yotaa
AKR",23,0.83,0.09,0.13,19
"misu
DSG",40,0.65,0.33,0.03,17
"MAGNUM
KC",37,0.65,0.24,0.11,14
"PapiChulo
NAOS",22,0.73,0.18,0.09,16
"artzin
MIBR",39,0.90,0.13,0.21,28
"P4ND4
6K",47,0.68,0.28,0.02,16
"Wolfen
CASE",21,0.81,0.00,0.14,17
