Player,RND,KPR,APR,FKPR,KMAX
"CALVIN S
GEEK",16,0.56,0.56,0.00,9
"Papi
NBG",19,0.68,0.47,0.05,13
"catalina
ZEN.GC",16,0.81,0.50,0.13,13
"SwayZ
TOR",41,0.93,0.22,0.22,19
coop,20,1.05,0.00,0.20,21
"KILLDREAM
ELV",26,0.96,0.19,0.15,25
"seph1roth
MITH",69,0.81,0.29,0.07,24
"binjo
KZ",24,0.96,0.13,0.17,23
"Zellsis
SEN",190,0.75,0.40,0.10,19
"dimaxx
FUZO",24,0.58,0.54,0.00,14
"Inumo
VCTRY",21,0.76,0.19,0.14,16
"alvin
Burg",19,0.89,0.26,0.21,17
972,91,0.87,0.37,0.10,28
sereen,20,0.95,0.15,0.30,19
"tinchoff
AK",118,0.78,0.13,0.12,25
"Akai
FLC",168,0.97,0.20,0.23,26
"BuZz
DRX",38,0.84,0.11,0.18,19
"kayle
NDG",24,0.63,0.50,0.08,15
Zodiac,20,0.90,0.25,0.35,18
"mads
MDK",40,0.90,0.08,0.15,20
"thebigfiz
MDR",28,0.96,0.36,0.04,27
"LOB
VL",44,0.84,0.32,0.11,25
"NDG
TS",19,0.74,0.16,0.00,14
"Dark3st
SAD",81,0.79,0.41,0.12,20
"Cleeann
Lyos",24,1.00,0.08,0.13,24
Unique,23,0.83,0.22,0.04,19
"JohnOlsen
FS",43,1.00,0.16,0.16,26
j3lly,20,0.65,0.60,0.00,13
"vaZ
ZEN.GC",39,0.72,0.54,0.00,18
"HANLING
NOTT",71,0.89,0.35,0.11,26
"anger
CSUF",20,0.55,0.65,0.05,11
"madv
FLCV",108,0.75,0.56,0.06,19
"Flossie
FIRE",36,0.92,0.22,0.08,23
XyuS,44,0.91,0.09,0.18,23
"Retla
BLD",20,0.55,0.25,0.00,11
"Movi
PMT",70,0.73,0.36,0.10,23
"Rexon
EYG",64,0.80,0.31,0.05,21
"chanformer
NXT",26,0.81,0.35,0.04,21
"Vera
LZE",57,0.93,0.21,0.28,18
"ValdyN
AE",62,0.79,0.21,0.13,20
"SerialKiller
Aimb",47,0.96,0.21,0.13,31
"Dinxx
WVU",18,0.89,0.28,0.17,16
"ShoT_UP
TOR",23,1.09,0.04,0.17,25
"pandejalea
19",21,0.76,0.10,0.24,16
"Paradox
RVNT",44,0.84,0.14,0.11,22
"shen
1337",41,0.73,0.34,0.05,17
"baddyG
ACE",79,0.63,0.48,0.06,20
"kellyS
OAS",43,0.79,0.33,0.09,20
"Matt
Burg",19,1.05,0.26,0.21,20
"moner
R8",108,0.75,0.19,0.08,24
"McKinley
AIC",87,0.72,0.30,0.10,19
"reazy
BBL",42,0.69,0.57,0.00,15
BLOD,21,0.71,0.33,0.24,15
"Rainy
CBT",44,0.57,0.55,0.09,13
"Pa1nt
FCN",36,0.81,0.28,0.28,15
"foxz
FS",43,0.74,0.28,0.07,17
"CaspeR
MLT.GC",55,0.58,0.38,0.04,14
"Masic
DATH",46,0.83,0.15,0.15,25
"Minny
GN",55,0.89,0.18,0.04,27
"Avez
NASR",125,0.76,0.29,0.06,24
"starki
MOUZ",42,0.83,0.43,0.05,20
"Lied
FSX",24,0.96,0.08,0.21,23
"YamzzI
FL.GC",20,0.70,0.30,0.15,14
"grumble
LZE",57,0.74,0.42,0.07,22
patitop,16,0.75,0.25,0.19,12
"Newzera
DVM",23,0.87,0.35,0.13,20
"waddle
DSY",54,0.76,0.22,0.07,16
"Nozz
BOBO",88,0.69,0.44,0.08,20
"kAdavra
DVM",23,0.87,0.35,0.09,20
"Palla
puGG",70,0.87,0.10,0.19,19
"Alluka
RRQ.K",55,0.53,0.71,0.07,15
"Addi
KARM",26,0.88,0.12,0.31,23
"mada
MxS",56,0.96,0.05,0.25,24
"Dynasty
MCOM",44,0.73,0.30,0.14,18
"hiro
SUP",54,0.70,0.41,0.06,20
"Flaring
AE",57,0.54,0.37,0.05,12
"Danda
DEMU",63,0.73,0.29,0.03,21
"sh1n
KC",98,0.77,0.39,0.06,19
"KHaaLiD
FLC",168,0.74,0.53,0.08,22
"Shyy
KRÜ",21,0.76,0.33,0.19,16
"Karra
FLY.R",16,0.75,0.13,0.25,12
"monSi
BC",38,0.63,0.29,0.11,15
"Happen
PMT",70,0.76,0.30,0.07,21
"ALEKSANDAR
MU",41,0.85,0.22,0.12,25
Mami,21,0.90,0.24,0.19,19
"King
DRGN",43,0.79,0.47,0.09,18
"Impact
SLT",122,0.84,0.26,0.16,23
"t3xture
GEN",142,0.86,0.20,0.18,22
"proxima
BBL.Q",39,0.74,0.13,0.03,21
"IKANA
GZL",89,0.80,0.51,0.03,32
"Sp1ke
CG",16,1.00,0.06,0.31,16
"Z3RO
OP",22,0.95,0.27,0.14,21
CHRISTIAN DIOR,22,0.95,0.27,0.14,21
"Teague
TACO",38,0.61,0.71,0.08,13
"Esperanza
NTH",46,0.78,0.43,0.11,18
"Ruxic
FF",80,0.80,0.33,0.09,24
"Mojer
NAOS",108,0.91,0.17,0.17,26
Chintu,20,0.80,0.25,0.05,16
"Ponder
PFlu",56,0.91,0.13,0.11,20
"woody
ARF",40,0.78,0.25,0.13,16
"Wens
BBL.Q",39,0.72,0.23,0.05,17
"gaabxx
RED",20,0.70,0.45,0.20,14
"SoOn
MDR",28,0.79,0.29,0.04,22
"v1c
MxS",56,0.84,0.29,0.13,24
"tokyo
ROSE",36,0.61,0.58,0.00,14
"Kyu
Grif",40,0.65,0.58,0.03,14
"BiggieCheese
AIC",87,0.68,0.31,0.06,19
"TenZ
SEN",190,0.74,0.52,0.09,20
AbruX,16,0.81,0.38,0.25,13
"fluxxy
O1O",64,0.81,0.25,0.08,18
"Victor
NRG",53,1.00,0.19,0.08,26
"caydeN
DSY",54,0.61,0.46,0.07,13
"RND
TBK",21,0.86,0.14,0.14,18
"TeddyIsFluffy
GT.G",22,0.73,0.50,0.00,16
"GENETICZZ
PMT",22,0.82,0.23,0.09,18
"purp0
GX",44,0.82,0.20,0.18,22
"Shao
NAVI",65,0.77,0.52,0.06,24
"d1srupt
TRS",114,0.74,0.40,0.09,23
"spike
2G",86,0.84,0.35,0.07,20
"cbui
SNG",36,0.69,0.53,0.08,14
"xavi8k
PHI",43,0.74,0.63,0.14,16
"Tuli
9z",78,0.91,0.15,0.23,23
"Br1ckzl
VIS",111,0.78,0.34,0.11,23
"vong
MZP",20,0.75,0.20,0.15,15
Troizyxgod,24,0.79,0.29,0.04,19
"StarBound
FLY.R",51,0.63,0.27,0.08,21
"Turko
FF",80,0.70,0.23,0.13,20
matic,23,0.96,0.17,0.04,22
"RobbieBk
JL",54,0.76,0.46,0.06,23
"Joojina
TL",22,0.82,0.36,0.09,18
