Player,RND,KPR,APR,FKPR,KMAX
"Biccari
ACE",42,1.02,0.12,0.05,25
"Mazuong
BOBO",110,0.95,0.23,0.20,20
"Bizerra
TL",128,0.85,0.18,0.11,21
"conir
KRÜ.B",34,0.76,0.53,0.06,16
"klaudia
O1O",117,0.79,0.70,0.09,22
"h6tedthemost
ACE",121,0.80,0.69,0.03,23
"shinnok
YARI",87,0.77,0.45,0.05,20
yuchan,58,1.00,0.53,0.16,23
cindy,19,0.89,0.26,0.00,17
"AFoxx
RAAD",56,0.95,0.18,0.05,23
"Chronicle
FNC",18,0.83,0.78,0.11,15
"NoMan
Nood",20,0.95,0.20,0.10,19
"mikki
Simp",55,0.85,0.38,0.07,22
flya,16,0.75,1.13,0.06,12
seyq,81,0.85,0.62,0.06,25
"supamen
EG",39,0.67,0.67,0.13,19
"Dia
SZ.GC",49,1.04,0.16,0.33,27
"delas
ONS",68,1.12,0.10,0.22,27
"Ching
1MS",19,0.89,0.58,0.11,17
"Jinboong
SG",127,1.03,0.12,0.13,27
XyuS,156,0.95,0.09,0.22,23
"dods
KRÜ.B",34,0.94,0.56,0.15,17
"Razziss
TLM",73,1.14,0.16,0.21,32
Kazuto,20,1.05,0.10,0.10,21
"DaviH
CGN",37,0.86,0.27,0.11,19
"Karra
FLY.R",189,0.86,0.46,0.08,23
"SemberN
AW3",57,0.91,0.26,0.09,23
"Derrek
EG",39,0.74,0.44,0.08,15
"ABATMAN
NCG",18,0.89,0.06,0.17,16
aurahh,41,1.17,0.17,0.22,24
"JSIN
UCF.G",123,0.74,0.37,0.11,21
buddha,14,1.00,0.29,0.14,14
"ShoT_UP
TOR",81,1.02,0.56,0.11,26
julia,43,0.88,0.35,0.07,21
"ScrewFace
VLYN",61,0.87,0.75,0.08,25
"zander
M80",41,1.12,0.41,0.17,31
"HANE
Mete",79,0.76,0.48,0.06,19
"WiLLz
RIT",86,0.76,0.56,0.07,16
Interlaced,120,0.83,0.33,0.08,21
suNtouch,24,0.92,0.67,0.08,22
"Kuba
FKS",26,0.92,0.38,0.00,24
"eternal
BTF",37,0.84,0.27,0.11,17
pxl,16,0.94,0.19,0.19,15
"Rythm
MAD.SC",39,0.82,0.23,0.08,17
"Mot1on
CTLS",164,0.86,0.43,0.05,22
"devilasxa
GMX.L",160,0.78,0.71,0.14,27
"ira
FF",14,0.71,0.43,0.07,10
"brk
SAW",133,0.93,0.22,0.26,25
"snikk
Z10",46,0.80,0.41,0.11,23
"psy
MDL",76,0.92,0.33,0.07,25
Tempest,16,0.75,1.00,0.00,12
"HAYAI
AI",101,1.12,0.26,0.15,28
ZEN,65,0.97,0.45,0.06,24
"Ayyzicle
LONE",40,0.78,0.58,0.08,19
antling,41,1.12,0.20,0.05,29
"Butter
CD",15,0.87,0.33,0.07,13
"ScherBi
BCGF",19,0.89,0.16,0.32,17
"natty
CAL.S",74,1.12,0.19,0.32,27
Henry,72,0.81,0.26,0.08,21
TORONTO,39,1.00,0.18,0.33,24
"Amy
MLT.GC",30,0.70,0.37,0.03,14
"GOATz
OPST",44,0.91,0.66,0.07,21
"beffy
ACE",21,0.76,0.67,0.19,16
"clutchyy
Mc",129,0.95,0.27,0.14,29
cfuzzy,37,0.95,0.19,0.16,24
vari0us,16,0.75,0.50,0.13,12
"romily
KRÜ.B",34,0.79,0.06,0.06,14
"Izuki
FLC",14,0.86,0.29,0.07,12
"JaebiN
SLT",110,0.95,0.30,0.19,25
"kaajak
APK",31,1.03,0.10,0.32,16
LuckuLuckaLucky,40,0.75,0.50,0.05,16
ballow,38,0.97,0.11,0.18,24
"Ambi
VLNT",42,0.69,0.67,0.05,18
"sibeastw0w
NASR",189,0.98,0.18,0.27,30
"Vera
LZE",21,0.86,0.33,0.14,18
c0ttu,56,0.84,0.52,0.07,20
Ayanokoji,40,0.95,0.25,0.10,20
"Rainy
CBT",156,0.79,0.47,0.08,21
Kawaii2k,109,0.82,0.52,0.07,23
"Notexxd
Six",138,0.87,0.43,0.12,22
"Zyppan
NAVI",58,0.91,0.67,0.12,20
Zakwaan,14,0.64,0.50,0.00,9
Anubis,21,0.81,0.67,0.10,17
"calsushi
TDY",87,0.86,0.38,0.08,17
"In0X
WVU",55,0.80,0.71,0.20,17
"soren
Colo",119,0.97,0.09,0.23,22
"Muffyn
FSS",44,1.00,0.23,0.16,25
"phi
xyz",161,0.81,0.57,0.09,21
"Yanagi
NCG",18,0.72,0.50,0.11,13
"mina
MIND",37,1.00,0.14,0.35,20
miiigz,91,1.02,0.46,0.18,23
"ExciteMVP
NBG",158,0.80,0.44,0.11,21
"shirazi
XIP",35,0.74,0.34,0.09,14
Just Helping,48,1.00,0.31,0.13,25
"SyouTa
FL",113,0.98,0.12,0.24,30
"trash
Devi",38,0.74,0.58,0.08,14
"fluxxy
O1O",141,0.84,0.33,0.04,25
"BENECIA
SLT",110,0.81,0.57,0.06,18
"Paedy
MorJ",61,0.92,0.38,0.13,23
"zeldris
QOR",218,1.02,0.15,0.25,33
Precyse,18,0.72,0.11,0.11,13
Lendary,49,0.80,0.37,0.06,14
"firmz
VRTX",61,0.84,0.79,0.10,21
"icy
BNDT",149,0.99,0.22,0.15,26
"gobera
LGCY",62,1.08,0.13,0.24,30
Fridayskirtskirt,34,0.94,0.65,0.03,23
"Kohaibi
SMG.GC",64,0.89,0.52,0.06,23
"Kush
GRD",64,0.95,0.20,0.14,23
Globe,21,0.90,0.62,0.05,19
"Lights
HZN",51,0.84,0.61,0.16,23
"Famzzam
SNS",46,0.76,0.46,0.15,21
"Cendary
DEWA.B",58,0.95,0.55,0.09,22
"SaroX
ANM",26,1.00,0.27,0.04,26
"dth
KAMI",76,0.87,0.17,0.07,22
koto,102,1.03,0.24,0.14,26
"IKANA
GZL",177,0.86,0.29,0.07,24
meribleu,62,0.95,0.29,0.03,21
"archiw0w
ONLI",23,0.83,0.48,0.13,19
"p3w
Team",22,0.86,0.55,0.09,19
"Shao
NAVI",58,0.74,0.41,0.09,16
"cataLina
ZER.M",76,0.76,0.61,0.09,17
wodahS,23,1.00,0.26,0.13,23
"SUYGETSU
NAVI",58,0.81,0.29,0.05,19
Sippinonadrank,34,1.03,0.29,0.06,25
"Zee
XO.V",28,1.00,0.43,0.11,28
"let
LOUD.GC",38,0.79,0.18,0.18,18
airez,23,0.78,0.52,0.00,18
"welyy
RyZe",284,0.75,0.49,0.09,23
gorgwilds,118,0.85,0.55,0.08,22
Asa,118,0.87,0.31,0.15,25
Alucard,161,0.77,0.48,0.09,23
"campolina
BCK",19,0.84,0.26,0.00,16
isaiah,15,0.73,0.20,0.07,11
fayy,14,0.57,0.43,0.00,8
"Alu
O2",15,0.73,0.33,0.07,11
"Night
NA",47,0.81,0.51,0.09,16
"jeffie
HU",127,0.86,0.39,0.06,24
"jimbk
LONE",40,0.80,0.33,0.13,19
"Zest
BLD",83,0.83,0.29,0.10,24
LAYKEN,43,1.00,0.30,0.12,26
"Brinks
WTR",96,0.79,0.64,0.10,25
"Andrehs
AKV.GC",53,0.75,0.40,0.11,16
"Zaki
NTH",192,0.95,0.27,0.27,23
"srN
MIBR",61,0.85,0.21,0.25,18
"Sushiboys
FS",114,0.80,0.26,0.07,23
"wedid
TTR",36,0.81,0.50,0.11,18
