Player,RND,KPR,APR,FKPR,KMAX
"Leyre
MDK",110,0.76,0.38,0.07,21
"lumieexy
Leva",33,0.85,0.15,0.06,15
"toozy
VZ",44,0.86,0.36,0.07,25
"ease
OXR",55,0.78,0.45,0.09,16
"Alu
LR",21,0.71,0.43,0.14,15
"gloom
EZKI",71,0.70,0.56,0.11,19
"Phatt
ELV",34,0.53,0.62,0.06,10
bsmooth,24,0.75,0.29,0.04,18
"skz
LGCY",83,0.86,0.42,0.11,20
"PROFEK
GN",17,0.71,0.53,0.18,12
"chase
OLP",71,0.86,0.31,0.13,32
"isa1
isa",19,0.84,0.32,0.21,16
"Treelover
UOL",24,0.75,0.33,0.04,18
"vong
MZP",17,0.71,0.24,0.24,12
"Bgg
R8",82,0.74,0.32,0.13,16
"sacred
YFP",47,0.89,0.15,0.06,23
"jademwah
NB",100,0.84,0.39,0.15,24
"alannn
NOVO",48,0.83,0.31,0.17,19
"sillykitty53453
BRK.GC",38,0.79,0.32,0.18,15
"QutionerX
BBL",68,0.93,0.18,0.22,31
"Sandra
GK",185,0.74,0.30,0.06,21
"hype
APK",110,0.73,0.38,0.10,19
"mandu
KZ.T",26,0.88,0.27,0.15,23
"Miyori
GX.GC",120,0.78,0.19,0.16,20
"sword
RTZN",19,0.89,0.37,0.05,17
"Bati
SK",82,0.67,0.56,0.02,20
"Zneva
NOM",64,0.83,0.22,0.06,24
"Serenity
GHR",72,0.88,0.11,0.11,24
"JinNy
FSS",52,0.69,0.52,0.00,22
"Valu
FUR.F",16,1.00,0.25,0.00,16
"JoBa
TAMU",21,0.62,0.48,0.19,13
"Demon1
NRG",82,0.80,0.15,0.17,24
"Mazuong
BOBO",20,0.90,0.10,0.25,18
"Alessia
MDK",110,0.84,0.16,0.11,23
"rubkkoide
9z",39,0.82,0.28,0.15,21
"SpYzera
FLC",142,0.76,0.27,0.06,21
"Sacy
SEN",133,0.70,0.37,0.05,23
"Vico
LAZY",21,0.95,0.19,0.10,20
"baha
IW",60,0.82,0.30,0.08,22
"Rainy
CBT",44,0.68,0.45,0.11,16
"Ali
the",86,0.84,0.29,0.17,21
"xnfri
VL",42,0.76,0.36,0.14,17
"NINJA
FLYM",21,0.71,0.29,0.00,15
"nati
LEV.GC",16,0.81,0.25,0.06,13
"ref
Mas",21,0.95,0.24,0.19,20
"Jazzyk1ns
COL",69,0.71,0.20,0.13,21
"tconda
UC.Fem",23,0.78,0.35,0.13,18
"d3ffo
VLNT",82,0.78,0.12,0.27,25
Hansia,42,0.90,0.19,0.19,26
"Jady
ZER",19,0.79,0.26,0.11,15
"Scarlett
GMX.L",52,0.87,0.42,0.21,26
"Glance
KC.GC",83,0.72,0.39,0.05,21
"Kazler
RF.GC",43,0.74,0.51,0.07,21
"Sato
GLRS",24,0.96,0.08,0.13,23
"Siduzord
STE",106,0.71,0.26,0.05,21
"Urango
GLRS",24,0.75,0.38,0.21,18
"al0rante
FKS",33,0.85,0.12,0.15,17
"Saikiwi
UW.GC",97,0.81,0.39,0.08,19
"MiniBoo
TH",155,0.84,0.26,0.20,25
"prozin
TBK",186,0.80,0.39,0.15,24
"Shao
NAVI",71,0.75,0.34,0.11,20
"wavy
Sols",53,0.92,0.23,0.32,26
Avvix,186,0.73,0.48,0.09,23
"tinchoff
AK",57,0.61,0.16,0.09,14
"Xeppaa
C9",40,0.75,0.43,0.05,16
"Reformed
EX-E",156,0.71,0.21,0.04,21
"FETA
AIC",22,0.86,0.14,0.18,19
"JonahP
G2",86,0.73,0.27,0.03,23
"woody
ARF",23,0.78,0.48,0.09,18
"k1ngkappa
THE",19,0.89,0.16,0.21,17
"t3xture
GEN",41,1.00,0.20,0.22,27
"Shiro
BME",42,0.71,0.33,0.10,18
"Reita
MRSH",23,0.48,0.83,0.04,11
"ray4c
AE",85,0.76,0.22,0.15,26
"kobra
IGZ",38,1.00,0.08,0.16,22
"jowa
TM",85,0.68,0.31,0.09,20
Dignified,23,0.61,0.70,0.00,14
Gelatycat,23,0.74,0.35,0.09,17
"GuhRVN
HERO",99,0.69,0.31,0.16,19
jaymomo,26,0.69,0.62,0.04,18
"Lateu
fuVi",61,0.69,0.51,0.07,18
"bless
Erit",28,0.68,0.07,0.04,19
"Less
LOUD",118,0.72,0.34,0.09,21
"gMd
TSM",24,0.88,0.13,0.17,21
AlMtRoOo3,112,0.72,0.38,0.07,23
"kumi
ZMM.B",86,0.74,0.22,0.15,19
"Yuno
VENI",50,0.94,0.12,0.22,25
"sterben
SUP",24,0.71,0.71,0.13,17
"logaN
M8",81,0.56,0.26,0.02,16
"Ch1ckenBell
CAP",64,0.88,0.33,0.08,25
"gotten
AE",85,0.68,0.36,0.11,17
"Flaring
AE",91,0.59,0.51,0.03,20
"Addicted
SAW",40,0.68,0.35,0.00,18
"ValdyN
AE",85,0.67,0.47,0.05,16
"Jlerst
GAL",132,0.78,0.35,0.11,24
"keznit
KRÜ",64,0.89,0.13,0.20,22
"Muj
S2G",45,0.71,0.29,0.22,16
"iBrocky
KRAKEN",47,0.72,0.19,0.09,20
"Pie
Colo",46,0.72,0.35,0.09,21
"Tempt
VLYN",24,0.75,0.25,0.08,18
"Sayaplayer
T1",44,0.73,0.18,0.18,18
"BORKUM
TS",77,0.65,0.34,0.09,18
"MARCTYLINHO
DVM",41,0.68,0.27,0.15,17
"swag
LGCY",83,0.65,0.22,0.07,19
"adverso
AK",57,0.70,0.32,0.07,16
bailey,17,1.06,0.12,0.18,18
"Wild0reoo
PHI",19,0.84,0.37,0.16,16
"k1zpawn
SAW",40,0.73,0.20,0.10,18
"johms
VAL",19,0.63,0.63,0.00,12
"Famouz
BME",42,0.79,0.24,0.17,22
"Tempo
SNS",100,0.84,0.15,0.12,22
"ardiis
NAVI",71,0.82,0.37,0.17,25
"bones
YFP",98,0.83,0.40,0.06,26
"req
MFC",100,0.79,0.12,0.23,21
"safiaa
GnG.W",20,0.55,0.60,0.00,11
"miniature
DTL",21,0.67,0.24,0.14,14
"Melvin
UCSD",19,0.79,0.26,0.16,15
"hvoya
Irre",28,0.75,0.21,0.18,21
"RiceballiNNN
Red",46,0.65,0.41,0.07,21
"Killu
3D",66,0.71,0.29,0.05,25
"sickrey
R8",82,0.70,0.35,0.09,16
"xiTsha
DIA",57,0.68,0.26,0.12,20
Lazidus,37,0.78,0.16,0.11,18
"trent
G2",86,0.66,0.33,0.07,17
"alexis
SR",107,0.59,0.54,0.01,19
Gwangboong,52,0.63,0.31,0.15,15
"ShawateRR
UG",155,0.74,0.44,0.09,24
"Jemkin
RRQ",21,0.95,0.05,0.29,20
"Louitan
OVA",23,0.91,0.13,0.17,21
"purp0
GX",41,0.80,0.32,0.24,19
"kenobi
Z10",19,0.63,0.26,0.16,12
"Nidxvilco
MDK",110,0.76,0.27,0.04,22
"Ragnarok
Exal",23,0.78,0.61,0.04,18
YanLi,44,0.70,0.18,0.09,23
"LOB
VL",42,0.79,0.24,0.05,18
"Luzuh
OVA",23,0.74,0.13,0.26,17
"tuyz
LOUD",118,0.73,0.25,0.08,20
"theozy
CAOS.GC",19,0.95,0.16,0.21,18
grahams,59,0.83,0.17,0.08,23
"scarn
SAD",43,0.88,0.19,0.16,22
"Akira
IGW",57,0.91,0.28,0.07,23
"robz
AMZ",21,0.76,0.14,0.00,16
"jzz
MIBR",43,0.84,0.28,0.26,22
"stax
DRX",21,0.57,0.29,0.00,12
bae,23,0.70,0.39,0.04,16
"KHaaLiD
FLC",142,0.64,0.54,0.02,17
"Wyz
19",17,0.88,0.29,0.12,15
Repulsive,47,0.62,0.55,0.11,16
"Andersin
BTR",156,0.65,0.42,0.18,23
"LETHAL
WHO",41,0.85,0.24,0.05,23
"cgrs
MITH",23,0.74,0.26,0.09,17
"Ayumiii
RRQ.K",98,0.90,0.20,0.14,25
"corey
TTR",92,0.77,0.30,0.11,25
"speq
CGC",20,0.75,0.40,0.20,15
"hiro
SUP",24,0.67,0.21,0.04,16
