Player,RND,KPR,APR,FKPR,KMAX
"Ticey
SNS",23,1.04,0.04,0.22,24
"PoomOneLove
NKT",87,0.71,0.46,0.09,17
Hakka,21,0.71,0.38,0.10,15
"sawamura
RRQ.K",20,1.10,0.15,0.15,22
"tok1o
Sduf",18,0.94,0.17,0.06,17
"L1NK
UCAM",77,0.82,0.36,0.06,36
"shelbyN
EBG",43,0.95,0.21,0.05,23
"Spaz
TACO",42,0.71,0.40,0.13,15
"Chillin
SCC",88,0.82,0.53,0.06,23
"DataKiller
Six",26,0.81,0.42,0.00,21
"opTED
Boom",18,0.89,0.33,0.33,16
"wavy
Sols",21,0.81,0.24,0.14,17
"PinOcchiOs
SPE",17,1.18,0.06,0.12,20
"mimi
G2.G",77,0.71,0.23,0.03,17
jayrol,23,1.00,0.30,0.17,23
"JSP
NBG",65,0.63,0.32,0.08,15
"demon
Grou",46,0.87,0.26,0.24,22
BayPopper,42,0.93,0.21,0.14,23
"v1nny
RED",38,0.92,0.32,0.11,21
"vAgue
UNT",72,0.96,0.25,0.24,28
"Keiko
TL",20,0.90,0.25,0.25,18
"signed
JJH",40,0.88,0.35,0.08,20
"Dogo
SaD",44,0.93,0.23,0.09,24
"BuZz
DRX",68,0.87,0.29,0.15,25
"jakee
C9",50,0.72,0.40,0.06,20
"Kel
1MS",24,0.83,0.46,0.08,20
"aNguiSt
CGN",96,0.82,0.17,0.04,21
"anders
IU",18,0.67,0.28,0.06,12
"jademwah
NB",94,0.91,0.17,0.18,30
"kayle
NDG",21,0.86,0.19,0.05,18
"dip
VZ",66,0.82,0.17,0.12,24
"Zap
2G",20,0.90,0.20,0.10,18
"VuexLex
MNC",22,1.09,0.09,0.18,24
Lym,26,1.08,0.15,0.19,28
"ZmjjKK
EDG",63,0.78,0.54,0.14,21
"A1D
MU",62,0.89,0.40,0.11,34
"Chronicle
FNC",18,0.67,0.39,0.11,12
"fausTao
ARF",40,0.85,0.25,0.28,18
"Sayf
VIT",22,0.77,0.27,0.05,17
"MaKo
DRX",68,0.78,0.49,0.13,19
