Player,RND,KPR,APR,FKPR,KMAX
"waddle
DSY",54,0.76,0.22,0.07,16
"Happen
PMT",70,0.76,0.30,0.07,21
"Danda
DEMU",63,0.73,0.29,0.03,21
"Volt
TM",43,0.74,0.53,0.02,19
"cawn
SJSU",39,0.85,0.18,0.13,19
"Core
IluZ",21,0.86,0.57,0.19,18
"Padisah
GS",46,0.78,0.35,0.11,23
"Excali
MDL",64,0.78,0.22,0.09,27
"Alluka
RRQ.K",55,0.53,0.71,0.07,15
"mada
MxS",56,0.96,0.05,0.25,24
"AtaKaptan
FUT",57,0.75,0.37,0.12,15
"mads
MDK",102,0.83,0.17,0.13,21
"King
DRGN",43,0.79,0.47,0.09,18
smalls,20,0.90,0.10,0.15,18
"aimDLL
S2G",43,0.93,0.33,0.09,24
"cavern
MOBAP",70,0.66,0.53,0.06,19
"JohnOlsen
FS",66,0.95,0.17,0.20,26
"snowkey
BFG",22,0.95,0.23,0.00,21
"Ponder
PFlu",56,0.91,0.13,0.11,20
"Kehem
86th",39,0.72,0.41,0.13,15
Cobalt,14,0.86,0.21,0.07,12
Erick,19,0.89,0.26,0.11,17
"kamyk
JL",84,0.80,0.33,0.06,26
coop,42,1.02,0.07,0.21,22
"DEATHMAKER
TRS",163,0.91,0.20,0.21,29
Chintu,20,0.80,0.25,0.05,16
"els
BOBE",52,0.90,0.19,0.19,22
"Impact
SLT",122,0.84,0.26,0.16,23
"BennY
CGN",37,0.81,0.19,0.11,18
John Ham,39,0.64,0.67,0.05,14
"IKANA
GZL",89,0.80,0.51,0.03,32
"proxima
BBL.Q",39,0.74,0.13,0.03,21
CHRISTIAN DIOR,22,0.95,0.27,0.14,21
"GENETICZZ
PMT",22,0.82,0.23,0.09,18
"TeddyIsFluffy
GT.G",22,0.73,0.50,0.00,16
"ardiis
NAVI",85,0.73,0.40,0.06,19
"PROFEK
GN",102,0.68,0.37,0.03,20
"caydeN
DSY",54,0.61,0.46,0.07,13
"swag
LGCY",62,0.81,0.18,0.13,26
"smiley
VLYN",109,0.69,0.61,0.08,19
"fluxxy
O1O",64,0.81,0.25,0.08,18
"Victor
NRG",53,1.00,0.19,0.08,26
AbruX,16,0.81,0.38,0.25,13
"chase
Cudd",23,0.91,0.26,0.04,21
wodahS,45,0.76,0.20,0.13,18
"Wens
BBL.Q",39,0.72,0.23,0.05,17
TeKae,20,0.80,0.35,0.20,16
"RND
TBK",21,0.86,0.14,0.14,18
"Anima
HOWL",65,0.82,0.25,0.09,19
"woody
ARF",40,0.78,0.25,0.13,16
machuchutrain,23,0.91,0.17,0.09,21
"neptune
TWT",21,0.95,0.14,0.29,20
"neT
G2",71,0.76,0.30,0.15,20
"BiggieCheese
AIC",87,0.68,0.31,0.06,19
"v1c
MxS",56,0.84,0.29,0.13,24
"Masic
DATH",69,0.83,0.16,0.16,25
"Zuper
BFG",22,0.91,0.09,0.27,20
"Z3RO
OP",42,0.93,0.33,0.14,21
Nasty,44,0.89,0.07,0.18,25
"steezy
Pros",18,1.00,0.06,0.06,18
"purp0
GX",44,0.82,0.20,0.18,22
"spike
2G",86,0.84,0.35,0.07,20
matic,23,0.96,0.17,0.04,22
"Zimo
Twis",106,0.73,0.29,0.10,19
"SyouTa
FL",64,0.81,0.20,0.16,22
"vong
MZP",20,0.75,0.20,0.15,15
"m1tez
REG",23,0.74,0.35,0.04,17
"RobbieBk
JL",84,0.75,0.37,0.07,23
"Joojina
TL",22,0.82,0.36,0.09,18
"Tuli
9z",78,0.91,0.15,0.23,23
"Sunset
Curs",26,0.73,0.35,0.12,19
"vblack
GEEK",22,0.64,0.59,0.14,14
"Mercure
ZER",39,0.69,0.44,0.15,16
"Fair
Six",22,0.95,0.14,0.18,21
"Suki
UW.GC",41,0.71,0.22,0.05,17
"Deadly10
MDL",64,0.72,0.11,0.13,17
Pain,21,0.86,0.05,0.10,18
"Asuna
100T",77,0.83,0.27,0.16,21
"StarBound
FLY.R",73,0.68,0.25,0.07,21
"Karma
RZN",46,0.89,0.02,0.11,24
"Kyu
Grif",88,0.69,0.49,0.05,21
"isaa
TL",22,0.64,0.27,0.18,14
"Tio
MOX",32,0.78,0.31,0.06,25
"SerialKiller
Aimb",91,0.86,0.24,0.13,31
"Nidxvilco
MDK",102,0.73,0.31,0.03,23
"miwa
SNX.F",30,0.77,0.47,0.00,23
"Seif
YG",55,0.85,0.42,0.02,18
"c4Lypso
VLYN",21,0.62,0.43,0.05,13
"FallX
GLAB",45,1.00,0.27,0.13,29
"lz
2G",86,0.63,0.34,0.06,16
"YaBoiLewis
FKS",85,0.86,0.24,0.11,26
"gMd
TSM",40,0.93,0.23,0.20,19
"ClickShift
LAG",24,0.88,0.21,0.13,21
"TenZ
SEN",251,0.74,0.48,0.10,20
"Nabber
TAMU",55,0.80,0.33,0.16,30
"sociablEE
FF",101,0.80,0.29,0.12,28
"AlexaIsHot
KS",43,0.84,0.33,0.12,19
"Nawaf
DRGN",43,0.86,0.23,0.23,19
"shelbyN
EBG",70,0.69,0.21,0.10,16
"payne
ASTA",14,0.57,0.86,0.07,8
"kaho
SFU.P",57,0.77,0.23,0.25,27
"jas
JL",84,0.81,0.15,0.29,27
"TiduS
AKR",46,0.67,0.26,0.07,17
"Marved
NRG",53,0.75,0.30,0.08,15
"Cain
Torc",112,0.76,0.43,0.04,17
"Jelly
MIBR",48,0.85,0.40,0.19,26
"lukxo
GLRS",45,0.69,0.36,0.09,16
"furbsa
Feel",26,0.85,0.15,0.23,22
brock,52,0.81,0.23,0.15,25
"VTaguT
ELV",26,0.73,0.35,0.00,19
"silenttt
ELV",26,0.73,0.19,0.12,19
"Luj
FLCV",148,0.69,0.41,0.05,25
"Dior
4RL.H",17,0.88,0.41,0.00,15
"Obnoks
MOUZ",63,0.65,0.33,0.10,16
"silentzz
2G",86,0.88,0.20,0.24,22
"Hoax
GRY",87,0.71,0.49,0.06,25
"zeddy
KPI",24,0.54,0.54,0.17,13
"keznit
KRÜ",42,0.76,0.33,0.17,18
"Zap
2G",86,0.73,0.36,0.10,21
"d1msumboi
RESO",23,0.91,0.17,0.04,21
"Tsuya
LUC",23,0.78,0.30,0.13,18
"SimonD4rk
R8",131,0.81,0.17,0.10,24
Noor,66,0.73,0.36,0.08,18
"Paradox
RVNT",83,0.77,0.14,0.11,22
"sturNN
FB",17,0.71,0.00,0.06,12
"marky
OAS",82,0.76,0.48,0.09,18
"phi
xyz",23,0.70,0.43,0.04,16
"Aphun
SNS",65,0.66,0.46,0.14,15
"mityu
CGST",28,0.75,0.29,0.07,21
KIMB0,24,0.79,0.21,0.04,19
"Sunday
LFG",109,0.66,0.44,0.04,16
"al0rante
FKS",85,0.74,0.36,0.07,19
"ZesBeeW
END",48,0.71,0.23,0.04,22
"YoZeii
Lyos",39,0.77,0.31,0.03,19
"Snowi
OF",85,0.67,0.47,0.07,18
"mober
AYM",18,1.00,0.06,0.00,18
"Cohburg
SAD",110,0.73,0.21,0.14,21
"4Gruch
INCO",45,0.73,0.11,0.20,19
"deminatiX
IW",45,0.84,0.27,0.29,20
Answerz,23,0.91,0.22,0.30,21
"bee
CTRL",19,1.11,0.16,0.16,21
PokeChamp,22,0.82,0.32,0.09,18
"Myth
FOC",118,0.62,0.39,0.07,21
"Mojo
BRU",24,0.50,0.67,0.00,12
"trent
G2",92,0.72,0.34,0.11,22
"madison
Irre",68,0.90,0.31,0.10,27
"qRaxs
FUT",57,0.79,0.18,0.11,21
"lidyuh
DSG",23,0.83,0.57,0.04,19
"Keiko
TL",62,0.92,0.15,0.24,23
"leaf
G2",92,0.82,0.13,0.18,26
"miNt
FL.GC",20,0.80,0.20,0.15,16
"Kamiyu
XIP",22,0.82,0.23,0.05,18
"Saiz
BAR",45,0.71,0.20,0.18,16
"scarn
SAD",110,0.84,0.19,0.16,29
"Urango
GLRS",45,0.98,0.18,0.13,24
"BuZz
DRX",61,0.75,0.21,0.18,19
"ritsu
Gala",17,0.88,0.12,0.06,15
"Jesmu
OF",85,0.79,0.46,0.05,22
"oonzmlp
MARU",23,0.83,0.17,0.04,19
"BONCE
PDF",46,0.89,0.24,0.09,22
"geeza
Grif",88,0.77,0.10,0.08,25
"Turko
FF",101,0.68,0.27,0.11,20
"Vivii
UW.GC",41,0.73,0.29,0.15,18
"marteen
KC",139,0.78,0.23,0.19,23
"Byron
QLSH",24,0.63,0.08,0.04,15
"Kakarot
ZOL",71,0.82,0.15,0.03,24
"Kibojn
MDL",64,0.67,0.30,0.03,20
"sheydos
KOI",68,0.71,0.16,0.03,17
"shirazi
XIP",22,0.59,0.41,0.18,13
"renz
WU",86,0.63,0.15,0.08,18
"Jerk
WU",49,0.63,0.14,0.06,18
"mikeE
BC",137,0.84,0.15,0.07,30
"STAVINCI
ATN",33,0.64,0.39,0.06,11
"MattZ
spec",67,0.87,0.07,0.10,27
"ESUH
ANTC",24,0.67,0.58,0.00,16
"Zauqk
BOBO",88,0.85,0.25,0.09,29
"mizu
9z",78,0.91,0.12,0.12,24
"VuexLex
MNC",19,0.89,0.11,0.00,17
"Leviathan
FS",66,0.70,0.32,0.17,20
Naan,23,0.96,0.17,0.17,22
"ALL3Y
OPY",78,0.95,0.06,0.24,27
"baddyG
ACE",103,0.59,0.49,0.06,20
"LOB
VL",64,0.81,0.31,0.08,25
"ion2x
TOR",42,0.86,0.12,0.31,22
"Depyro
GMX",152,0.70,0.29,0.09,24
"Phi Minh
Illi",23,0.61,0.52,0.00,14
"Sharked
DK",18,0.56,0.50,0.06,10
"t3xture
GEN",183,0.81,0.20,0.17,22
"Jlerst
GAL",99,0.73,0.35,0.05,24
"Kixer
RZN",46,0.61,0.22,0.09,14
"sh1n
KC",139,0.70,0.37,0.09,19
"Anka
INC.GC",22,0.82,0.23,0.23,18
"Petra
G2.G",111,0.68,0.32,0.07,24
"Truth
BPC",20,0.85,0.00,0.15,17
"Kipperman
IW",23,0.91,0.09,0.13,21
"Joliinaa
GX.GC",56,0.82,0.25,0.09,21
"aNguiSt
CGN",37,0.76,0.32,0.11,16
"Faska
EQZ",21,0.86,0.24,0.19,18
idkman,26,0.96,0.27,0.15,25
"Flashback
DRX",23,0.65,0.13,0.00,15
"dip
VZ",64,0.75,0.19,0.11,20
"spoof
SaD",42,0.79,0.14,0.12,17
"Crazy NY
XS",86,0.77,0.21,0.06,29
"Wissite1
AMZ",23,0.78,0.35,0.13,18
"zeldris
QOR",72,0.85,0.14,0.18,25
"Moves
LFG",109,0.73,0.35,0.12,19
"xelouz
UNT",145,0.66,0.39,0.01,21
"foxz
FS",66,0.71,0.27,0.08,17
"elllement
CGN",37,0.76,0.22,0.14,21
"d1srupt
TRS",163,0.69,0.42,0.08,23
"Bonobo
FOC",118,0.75,0.16,0.19,22
SupahTyTy,20,0.85,0.40,0.00,17
"reshi
FIRE",36,0.72,0.31,0.08,13
"pannyx
BMG",19,0.74,0.53,0.00,14
"Spocki
Bloo",64,0.70,0.27,0.08,21
Noir,52,0.65,0.38,0.10,18
"Yuna
UW.GC",41,0.76,0.20,0.10,16
Avvix,127,0.76,0.17,0.07,24
"Monyet
PRX",128,0.73,0.34,0.12,24
"Newzera
DVM",45,0.78,0.29,0.11,20
