,,RND,KPR,APR,FKPR,KMAX
Infinity,breeze_stats,36,0.78,0.14,0.08,19
Infinity,icebox_stats,19,0.74,0.21,0.11,14
Infinity,lotus_stats,110,0.76,0.11,0.12,27
Infinity,split_stats,22,0.73,0.55,0.05,16
Infinity,sunset_stats,19,0.42,0.32,0.00,8
jhk,ascent_stats,17,1.00,0.94,0.12,17
jhk,bind_stats,26,0.92,0.42,0.04,24
jhk,split_stats,47,0.81,0.49,0.02,25
enerii,ascent_stats,35,1.11,0.14,0.31,22
enerii,bind_stats,14,1.14,0.43,0.21,16
enerii,icebox_stats,31,0.87,0.29,0.19,15
enerii,lotus_stats,83,1.00,0.27,0.24,21
enerii,split_stats,41,0.73,0.39,0.24,17
enerii,sunset_stats,106,0.87,0.29,0.22,18
Zek,ascent_stats,18,1.06,0.39,0.17,19
Zek,bind_stats,41,0.63,0.32,0.10,18
Zek,lotus_stats,52,0.75,0.31,0.13,21
alannah,ascent_stats,20,1.10,0.25,0.25,22
alannah,bind_stats,14,0.50,0.29,0.07,7
alannah,icebox_stats,46,0.57,0.15,0.02,12
alannah,sunset_stats,18,0.44,0.17,0.00,8
moshieroo,ascent_stats,19,0.95,0.95,0.16,18
moshieroo,bind_stats,22,0.82,0.09,0.09,18
moshieroo,breeze_stats,48,0.60,0.48,0.02,16
moshieroo,icebox_stats,37,0.76,0.35,0.11,15
moshieroo,lotus_stats,67,0.58,0.40,0.03,15
moshieroo,split_stats,36,0.81,0.28,0.08,15
moshieroo,sunset_stats,60,0.72,0.55,0.03,16
Expvsed,ascent_stats,17,1.24,0.18,0.18,21
Expvsed,bind_stats,44,0.64,0.07,0.02,15
Expvsed,lotus_stats,18,0.61,0.44,0.00,11
Expvsed,split_stats,41,0.56,0.10,0.07,12
soulcas,ascent_stats,31,1.00,0.77,0.10,16
soulcas,bind_stats,22,1.32,0.18,0.32,29
soulcas,breeze_stats,19,1.21,0.89,0.05,23
soulcas,icebox_stats,101,0.93,0.33,0.13,24
soulcas,lotus_stats,79,1.00,0.28,0.08,21
soulcas,sunset_stats,127,0.99,0.35,0.13,23
jawgemo,ascent_stats,39,1.13,0.31,0.21,23
jawgemo,bind_stats,24,0.33,0.17,0.04,8
jawgemo,breeze_stats,22,0.45,0.18,0.05,10
jawgemo,icebox_stats,60,0.65,0.17,0.17,17
jawgemo,lotus_stats,114,0.79,0.14,0.17,29
jawgemo,split_stats,17,0.47,0.06,0.12,8
jawgemo,sunset_stats,114,0.73,0.20,0.18,22
Sam,ascent_stats,79,1.22,0.14,0.22,27
Sam,bind_stats,41,1.32,0.10,0.10,28
Sam,lotus_stats,50,1.16,0.28,0.28,31
Sam,split_stats,17,1.00,0.29,0.00,17
HALIBEL,ascent_stats,16,0.75,0.44,0.06,12
HALIBEL,bind_stats,89,0.56,0.51,0.07,17
HALIBEL,lotus_stats,61,0.59,0.34,0.11,20
HALIBEL,sunset_stats,22,0.55,0.41,0.05,12
Shintaro,ascent_stats,18,1.00,0.33,0.39,18
Shintaro,bind_stats,14,1.36,0.21,0.36,19
Shintaro,breeze_stats,72,0.81,0.33,0.25,23
Shintaro,icebox_stats,59,1.24,0.36,0.22,32
Shintaro,sunset_stats,21,0.57,0.29,0.00,12
Twirly,ascent_stats,30,1.13,0.23,0.13,19
Twirly,bind_stats,23,0.70,0.22,0.09,16
Twirly,icebox_stats,40,0.93,0.18,0.08,22
Twirly,lotus_stats,21,0.71,0.24,0.29,15
Twirly,split_stats,37,0.68,0.19,0.08,18
Twirly,sunset_stats,23,0.83,0.17,0.22,19
Lilith,ascent_stats,33,0.88,0.52,0.12,20
Lilith,bind_stats,38,0.76,0.18,0.18,24
Lilith,icebox_stats,15,0.47,0.33,0.00,7
Lilith,lotus_stats,37,0.35,0.08,0.00,10
Lilith,split_stats,15,0.40,0.13,0.00,6
Lilith,sunset_stats,17,0.76,0.35,0.12,13
szimpli,ascent_stats,34,1.15,0.29,0.26,20
szimpli,breeze_stats,16,0.75,0.06,0.13,12
szimpli,icebox_stats,38,0.74,0.18,0.24,16
szimpli,lotus_stats,44,0.77,0.23,0.18,23
szimpli,sunset_stats,89,0.92,0.19,0.17,27
bstrdd,ascent_stats,128,1.16,0.20,0.23,22
bstrdd,bind_stats,98,0.86,0.20,0.20,26
bstrdd,icebox_stats,52,1.17,0.13,0.19,24
bstrdd,lotus_stats,97,0.82,0.21,0.22,16
bstrdd,split_stats,103,0.87,0.15,0.17,24
bstrdd,sunset_stats,23,0.96,0.22,0.17,22
surfer,ascent_stats,20,1.15,0.15,0.15,23
surfer,icebox_stats,38,0.82,0.03,0.00,20
surfer,lotus_stats,20,1.00,0.10,0.00,20
surfer,sunset_stats,14,0.86,0.14,0.00,12
addison,ascent_stats,16,1.38,0.50,0.06,22
addison,bind_stats,43,0.81,0.40,0.16,23
addison,icebox_stats,34,1.18,0.15,0.35,29
addison,lotus_stats,87,0.74,0.14,0.21,22
NightmareSan,ascent_stats,15,0.73,0.67,0.07,11
NightmareSan,lotus_stats,16,0.31,0.31,0.06,5
NightmareSan,sunset_stats,19,0.74,0.68,0.11,14
dazzi,ascent_stats,24,1.13,0.29,0.13,27
els,ascent_stats,20,1.05,0.65,0.20,21
els,icebox_stats,36,1.00,0.28,0.17,22
els,lotus_stats,40,0.80,0.45,0.03,16
els,split_stats,19,0.58,0.16,0.05,11
els,sunset_stats,44,0.68,0.45,0.07,16
Kudi,ascent_stats,17,0.88,0.59,0.06,15
Kudi,bind_stats,26,0.58,0.35,0.04,15
Kudi,split_stats,47,0.68,0.17,0.13,20
qRaxs,ascent_stats,20,1.10,0.60,0.05,22
qRaxs,bind_stats,64,0.59,0.63,0.08,18
qRaxs,breeze_stats,20,0.50,0.20,0.10,10
qRaxs,icebox_stats,64,0.61,0.59,0.03,16
qRaxs,lotus_stats,111,0.68,0.38,0.04,20
qRaxs,split_stats,57,0.79,0.18,0.11,21
qRaxs,sunset_stats,62,0.66,0.31,0.13,19
bae,ascent_stats,18,0.39,0.50,0.11,7
bae,bind_stats,18,0.56,0.11,0.06,10
bae,breeze_stats,42,0.74,0.36,0.07,16
bae,icebox_stats,15,1.00,0.13,0.07,15
bae,lotus_stats,16,0.25,0.44,0.06,4
bae,split_stats,24,0.71,0.50,0.00,17
bae,sunset_stats,33,0.79,0.58,0.00,13
Hazza,ascent_stats,28,1.32,0.14,0.21,37
Hazza,bind_stats,66,1.02,0.48,0.08,26
Hazza,lotus_stats,87,0.86,0.15,0.14,23
Hazza,sunset_stats,21,1.14,0.19,0.33,24
Migstur,ascent_stats,22,1.14,0.55,0.14,25
Migstur,icebox_stats,24,0.67,0.50,0.08,16
Migstur,sunset_stats,21,0.71,0.29,0.00,15
side,ascent_stats,17,1.06,0.18,0.12,18
side,bind_stats,15,1.33,0.07,0.13,20
side,breeze_stats,20,0.40,0.05,0.00,8
side,lotus_stats,42,0.74,0.21,0.21,18
side,split_stats,38,0.74,0.32,0.08,28
AvovA,ascent_stats,31,0.87,0.35,0.06,14
AvovA,bind_stats,22,0.86,0.23,0.09,19
AvovA,breeze_stats,19,0.42,0.32,0.00,8
AvovA,icebox_stats,101,0.80,0.17,0.10,19
AvovA,lotus_stats,79,0.65,0.41,0.04,16
AvovA,sunset_stats,127,0.76,0.40,0.09,21
Cryocells,ascent_stats,19,1.16,0.32,0.32,22
Cryocells,bind_stats,83,0.77,0.40,0.05,18
Cryocells,icebox_stats,47,1.00,0.09,0.26,26
Cryocells,lotus_stats,18,0.89,0.00,0.17,16
Cryocells,split_stats,77,0.77,0.17,0.10,16
showliana,ascent_stats,34,1.00,0.32,0.09,20
showliana,bind_stats,65,0.74,0.29,0.14,18
showliana,lotus_stats,64,0.63,0.28,0.13,20
showliana,sunset_stats,93,0.73,0.49,0.12,23
Mellie,ascent_stats,14,0.86,0.14,0.21,12
Mellie,breeze_stats,20,0.60,0.15,0.05,12
Mellie,sunset_stats,18,0.56,0.22,0.06,10
tok1o,ascent_stats,92,1.21,0.13,0.25,35
tok1o,bind_stats,18,0.94,0.17,0.06,17
tok1o,breeze_stats,111,0.96,0.15,0.15,27
tok1o,icebox_stats,139,1.10,0.15,0.22,27
tok1o,lotus_stats,44,0.89,0.18,0.11,23
tok1o,split_stats,88,0.92,0.24,0.15,33
tok1o,sunset_stats,140,1.15,0.19,0.30,30
reshi,ascent_stats,18,1.00,0.22,0.28,18
reshi,bind_stats,16,0.63,0.56,0.13,10
reshi,breeze_stats,91,0.66,0.23,0.07,16
reshi,icebox_stats,28,0.96,0.29,0.14,27
reshi,lotus_stats,18,0.44,0.11,0.00,8
reshi,split_stats,59,0.68,0.25,0.10,14
reshi,sunset_stats,76,0.67,0.24,0.11,21
Teddy,ascent_stats,38,1.18,0.13,0.18,23
Teddy,bind_stats,20,0.90,0.05,0.10,18
Teddy,lotus_stats,62,0.65,0.23,0.06,19
Teddy,split_stats,38,0.87,0.05,0.13,21
Teddy,sunset_stats,18,0.50,0.28,0.11,9
Rita,ascent_stats,14,1.29,0.07,0.50,18
Rita,breeze_stats,20,0.60,0.40,0.20,12
Rita,sunset_stats,18,0.72,0.28,0.17,13
Joojina,ascent_stats,128,0.96,0.63,0.10,21
Joojina,bind_stats,98,0.61,0.45,0.04,18
Joojina,icebox_stats,52,0.88,0.33,0.04,18
Joojina,lotus_stats,97,0.86,0.40,0.06,18
Joojina,split_stats,103,0.65,0.31,0.09,18
Joojina,sunset_stats,23,0.52,0.52,0.09,12
daiki,ascent_stats,128,0.80,0.84,0.11,16
daiki,bind_stats,98,0.76,0.37,0.14,18
daiki,icebox_stats,52,0.67,0.38,0.06,13
daiki,lotus_stats,97,0.81,0.51,0.08,20
daiki,split_stats,103,0.82,0.40,0.08,21
daiki,sunset_stats,23,1.00,0.43,0.04,23
Shizue,ascent_stats,38,0.84,0.97,0.05,17
Shizue,bind_stats,15,0.93,0.60,0.13,14
Shizue,breeze_stats,46,0.46,0.20,0.07,11
Shizue,icebox_stats,41,0.90,0.10,0.07,24
Shizue,lotus_stats,54,0.56,0.20,0.07,14
Shizue,split_stats,62,0.79,0.19,0.08,20
Shizue,sunset_stats,19,0.37,0.21,0.00,7
Ara,ascent_stats,24,0.58,0.17,0.13,14
Ara,bind_stats,18,0.33,0.06,0.00,6
Ara,lotus_stats,26,0.31,0.38,0.04,8
Ara,split_stats,21,1.33,0.05,0.33,28
Ara,sunset_stats,22,0.91,0.41,0.18,20
Ayanami,ascent_stats,24,1.21,0.29,0.17,29
Ayanami,bind_stats,15,1.07,0.13,0.40,16
Ayanami,lotus_stats,56,0.84,0.25,0.07,17
Ayanami,split_stats,61,0.79,0.23,0.11,25
Ayanami,sunset_stats,41,0.80,0.12,0.17,20
Leun,ascent_stats,62,1.05,0.27,0.18,31
Leun,bind_stats,18,0.50,0.28,0.06,9
Leun,icebox_stats,18,0.44,0.17,0.00,8
Leun,lotus_stats,19,0.68,0.21,0.16,13
Leun,split_stats,21,0.90,0.10,0.19,19
Leun,sunset_stats,40,0.83,0.30,0.03,22
SorryMaam,ascent_stats,16,0.88,0.81,0.06,14
SorryMaam,bind_stats,16,0.75,0.19,0.00,12
SorryMaam,lotus_stats,37,0.70,0.14,0.05,15
SorryMaam,split_stats,21,0.67,0.24,0.14,14
mandu,ascent_stats,49,1.06,0.29,0.24,21
mandu,icebox_stats,19,0.74,0.16,0.32,14
mandu,lotus_stats,42,0.86,0.31,0.17,20
mandu,split_stats,14,1.07,0.36,0.00,15
mandu,sunset_stats,39,0.92,0.28,0.18,23
f1cio,ascent_stats,67,1.04,0.60,0.19,28
f1cio,bind_stats,66,0.82,0.20,0.11,26
f1cio,icebox_stats,53,0.81,0.32,0.23,15
f1cio,lotus_stats,21,0.57,0.19,0.19,12
f1cio,sunset_stats,44,0.75,0.43,0.09,21
nicky,ascent_stats,22,0.86,0.55,0.09,19
nicky,bind_stats,65,0.83,0.40,0.06,24
nicky,breeze_stats,59,0.78,0.34,0.05,23
nicky,icebox_stats,50,0.38,0.38,0.06,10
nicky,lotus_stats,84,0.56,0.40,0.06,12
nicky,split_stats,19,0.47,0.42,0.05,9
nicky,sunset_stats,39,0.64,0.33,0.08,18
Loweed,ascent_stats,42,1.05,0.33,0.05,31
Loweed,breeze_stats,49,0.73,0.14,0.14,19
Loweed,lotus_stats,13,1.46,0.23,0.15,19
Loweed,split_stats,24,0.75,0.04,0.08,18
Loweed,sunset_stats,20,0.75,0.40,0.15,15
Alexy,ascent_stats,35,1.17,0.17,0.29,29
Alexy,bind_stats,14,1.50,0.21,0.36,21
Alexy,icebox_stats,31,1.03,0.03,0.26,18
Alexy,lotus_stats,83,0.98,0.36,0.16,19
Alexy,split_stats,41,1.07,0.17,0.10,22
Alexy,sunset_stats,106,0.87,0.35,0.15,21
Lamperouge,ascent_stats,34,1.15,0.41,0.21,21
Lamperouge,breeze_stats,20,1.05,0.20,0.15,21
Lamperouge,icebox_stats,16,1.06,0.00,0.38,17
Lamperouge,lotus_stats,38,0.63,0.24,0.13,18
Lamperouge,sunset_stats,53,0.70,0.17,0.19,23
Asuna,ascent_stats,28,0.86,0.32,0.14,24
Asuna,bind_stats,41,0.66,0.22,0.10,15
Asuna,icebox_stats,47,0.43,0.17,0.06,11
Asuna,lotus_stats,18,0.50,0.33,0.06,9
Asuna,split_stats,24,0.63,0.25,0.00,15
Asuna,sunset_stats,19,0.63,0.21,0.05,12
edith,ascent_stats,60,0.97,0.28,0.25,21
edith,bind_stats,102,0.80,0.15,0.17,22
edith,breeze_stats,50,0.60,0.42,0.22,15
edith,icebox_stats,50,0.82,0.08,0.16,18
edith,lotus_stats,74,0.91,0.23,0.18,20
edith,split_stats,33,1.03,0.45,0.27,20
edith,sunset_stats,76,0.97,0.20,0.22,22
puggy,ascent_stats,57,0.84,0.39,0.05,18
puggy,bind_stats,23,0.35,0.26,0.00,8
puggy,breeze_stats,42,0.64,0.36,0.12,14
puggy,icebox_stats,109,0.59,0.26,0.10,20
puggy,lotus_stats,61,0.56,0.52,0.05,13
puggy,sunset_stats,91,0.49,0.46,0.04,18
Seina,ascent_stats,14,0.86,0.50,0.07,12
Seina,breeze_stats,20,0.45,0.35,0.05,9
Seina,sunset_stats,18,1.00,0.22,0.17,18
Ivy,ascent_stats,53,0.85,0.53,0.15,16
Ivy,bind_stats,85,0.69,0.39,0.08,18
Ivy,breeze_stats,28,0.79,0.64,0.14,22
Ivy,icebox_stats,90,0.76,0.37,0.10,24
Ivy,lotus_stats,106,0.92,0.25,0.22,26
Ivy,split_stats,80,0.79,0.48,0.10,21
Ivy,sunset_stats,16,1.13,0.13,0.25,18
elegy,ascent_stats,23,1.04,0.52,0.13,24
elegy,lotus_stats,20,1.00,0.35,0.10,20
elegy,sunset_stats,18,0.72,0.33,0.06,13
R4M,ascent_stats,19,0.89,0.47,0.05,17
R4M,breeze_stats,17,0.35,0.47,0.00,6
R4M,icebox_stats,40,0.70,0.30,0.05,15
R4M,lotus_stats,68,0.87,0.43,0.04,21
R4M,split_stats,20,0.55,0.35,0.00,11
Tanisha,ascent_stats,47,1.09,0.55,0.13,27
Tanisha,sunset_stats,40,0.55,0.63,0.10,11
tellfeenzo,ascent_stats,19,1.05,0.47,0.32,20
tellfeenzo,breeze_stats,80,0.73,0.18,0.08,26
tellfeenzo,lotus_stats,49,0.67,0.20,0.08,17
tellfeenzo,split_stats,37,0.86,0.30,0.14,24
tellfeenzo,sunset_stats,22,0.64,0.36,0.09,14
mmonch,ascent_stats,53,1.19,0.19,0.09,28
mmonch,bind_stats,85,0.81,0.35,0.09,23
mmonch,breeze_stats,28,0.96,0.32,0.00,27
mmonch,icebox_stats,90,0.96,0.20,0.11,22
mmonch,lotus_stats,106,0.84,0.40,0.12,21
mmonch,split_stats,80,0.83,0.33,0.11,31
mmonch,sunset_stats,16,0.50,0.44,0.06,8
maniek,ascent_stats,23,1.13,0.04,0.30,26
maniek,bind_stats,19,0.89,0.05,0.21,17
maniek,icebox_stats,17,0.53,0.06,0.18,9
maniek,lotus_stats,55,1.07,0.15,0.16,26
maniek,split_stats,81,0.73,0.23,0.25,19
maniek,sunset_stats,58,0.60,0.16,0.19,20
mandy,ascent_stats,77,1.23,0.18,0.22,32
mandy,bind_stats,43,0.98,0.21,0.33,23
mandy,breeze_stats,16,1.00,0.25,0.19,16
mandy,icebox_stats,83,0.87,0.45,0.10,30
mandy,lotus_stats,129,1.01,0.23,0.19,33
mandy,split_stats,30,1.10,0.17,0.23,26
soko,ascent_stats,20,1.05,0.20,0.30,21
soko,bind_stats,14,0.64,0.00,0.00,9
soko,icebox_stats,46,0.74,0.28,0.20,16
soko,sunset_stats,18,1.00,0.06,0.11,18
Noraneko,ascent_stats,15,1.13,0.40,0.07,17
Noraneko,bind_stats,19,0.47,0.16,0.00,9
Noraneko,breeze_stats,40,0.75,0.18,0.05,18
Noraneko,icebox_stats,37,0.70,0.27,0.05,14
Noraneko,lotus_stats,15,0.33,0.13,0.13,5
Noraneko,split_stats,66,0.82,0.29,0.08,20
zev,ascent_stats,19,1.32,0.16,0.37,25
zev,bind_stats,108,0.69,0.19,0.12,24
zev,breeze_stats,53,0.74,0.19,0.15,16
zev,icebox_stats,97,0.78,0.12,0.13,25
zev,lotus_stats,153,0.88,0.20,0.14,27
zev,split_stats,16,0.50,0.31,0.00,8
zev,sunset_stats,132,0.94,0.27,0.16,25
1Frog1,ascent_stats,93,1.10,0.18,0.24,31
1Frog1,bind_stats,43,0.79,0.16,0.12,18
1Frog1,breeze_stats,93,0.88,0.23,0.19,28
1Frog1,icebox_stats,85,0.99,0.14,0.27,28
1Frog1,lotus_stats,41,0.63,0.05,0.17,13
1Frog1,split_stats,147,0.90,0.12,0.18,27
1Frog1,sunset_stats,24,1.08,0.21,0.21,26
RARE,ascent_stats,58,0.95,0.17,0.10,21
RARE,bind_stats,37,0.81,0.41,0.19,15
RARE,breeze_stats,107,0.70,0.24,0.09,22
RARE,icebox_stats,58,0.95,0.22,0.07,22
RARE,lotus_stats,44,0.52,0.48,0.00,13
RARE,split_stats,24,0.88,0.25,0.17,21
RARE,sunset_stats,161,0.72,0.38,0.07,23
Medusa,ascent_stats,64,0.66,0.23,0.08,19
Medusa,breeze_stats,67,0.75,0.21,0.18,19
Medusa,lotus_stats,136,0.61,0.22,0.08,16
Medusa,split_stats,64,0.53,0.31,0.06,13
Medusa,sunset_stats,39,0.59,0.21,0.18,16
florescent,ascent_stats,303,1.11,0.22,0.19,28
florescent,bind_stats,172,0.91,0.24,0.18,32
florescent,breeze_stats,146,0.92,0.22,0.14,24
florescent,icebox_stats,187,0.96,0.19,0.19,29
florescent,lotus_stats,284,1.06,0.26,0.13,32
florescent,split_stats,46,0.93,0.11,0.17,22
florescent,sunset_stats,166,1.22,0.20,0.19,33
aldnaa,ascent_stats,55,0.89,0.75,0.02,22
aldnaa,bind_stats,28,0.68,0.68,0.11,19
aldnaa,lotus_stats,18,0.28,0.89,0.00,5
aldnaa,split_stats,22,0.68,0.45,0.14,15
Atropos,ascent_stats,26,1.00,0.58,0.04,26
Atropos,bind_stats,67,0.75,0.49,0.04,22
Atropos,breeze_stats,18,0.22,0.17,0.00,4
Atropos,icebox_stats,43,0.84,0.14,0.12,28
Atropos,split_stats,23,1.00,0.39,0.04,23
Atropos,sunset_stats,15,0.53,0.27,0.07,8
