id,user,ascent_stats,bind_stats,breeze_stats,icebox_stats,lotus_stats,split_stats,sunset_stats
10653,suzu,"{'RND': '43', 'KPR': '0.79', 'APR': '0.16', 'FKPR': '0.23', 'KMAX': '18'}","{'RND': '20', 'KPR': '0.85', 'APR': '0.20', 'FKPR': '0.15', 'KMAX': '17'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.65', 'APR': '0.24', 'FKPR': '0.12', 'KMAX': '11'}","{'RND': '15', 'KPR': '1.40', 'APR': '0.27', 'FKPR': '0.53', 'KMAX': '21'}","{'RND': '86', 'KPR': '0.86', 'APR': '0.13', 'FKPR': '0.20', 'KMAX': '21'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
39904,SereNa,"{'RND': '43', 'KPR': '0.58', 'APR': '0.30', 'FKPR': '0.07', 'KMAX': '14'}","{'RND': '20', 'KPR': '0.80', 'APR': '0.15', 'FKPR': '0.05', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.88', 'APR': '0.41', 'FKPR': '0.06', 'KMAX': '15'}","{'RND': '15', 'KPR': '0.67', 'APR': '0.33', 'FKPR': '0.00', 'KMAX': '10'}","{'RND': '86', 'KPR': '0.71', 'APR': '0.22', 'FKPR': '0.06', 'KMAX': '21'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
39902,UR,"{'RND': '43', 'KPR': '0.81', 'APR': '0.37', 'FKPR': '0.12', 'KMAX': '20'}","{'RND': '20', 'KPR': '0.65', 'APR': '0.55', 'FKPR': '0.15', 'KMAX': '13'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.94', 'APR': '0.41', 'FKPR': '0.12', 'KMAX': '16'}","{'RND': '15', 'KPR': '0.53', 'APR': '0.33', 'FKPR': '0.00', 'KMAX': '8'}","{'RND': '86', 'KPR': '0.88', 'APR': '0.29', 'FKPR': '0.17', 'KMAX': '21'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
29314,Moco,"{'RND': '43', 'KPR': '0.70', 'APR': '0.44', 'FKPR': '0.09', 'KMAX': '22'}","{'RND': '20', 'KPR': '0.65', 'APR': '0.50', 'FKPR': '0.05', 'KMAX': '13'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '1.12', 'APR': '0.35', 'FKPR': '0.18', 'KMAX': '19'}","{'RND': '15', 'KPR': '1.13', 'APR': '0.53', 'FKPR': '0.20', 'KMAX': '17'}","{'RND': '86', 'KPR': '0.85', 'APR': '0.35', 'FKPR': '0.10', 'KMAX': '26'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
29316,aco,"{'RND': '43', 'KPR': '0.91', 'APR': '0.51', 'FKPR': '0.02', 'KMAX': '24'}","{'RND': '20', 'KPR': '0.80', 'APR': '0.10', 'FKPR': '0.15', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.59', 'APR': '0.59', 'FKPR': '0.00', 'KMAX': '10'}","{'RND': '15', 'KPR': '0.80', 'APR': '0.40', 'FKPR': '0.13', 'KMAX': '12'}","{'RND': '86', 'KPR': '0.51', 'APR': '0.49', 'FKPR': '0.07', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
22828,MILKY,"{'RND': '22', 'KPR': '0.59', 'APR': '0.45', 'FKPR': '0.05', 'KMAX': '13'}","{'RND': '19', 'KPR': '0.63', 'APR': '0.32', 'FKPR': '0.21', 'KMAX': '12'}","{'RND': '23', 'KPR': '0.43', 'APR': '0.13', 'FKPR': '0.00', 'KMAX': '10'}","{'RND': '99', 'KPR': '0.42', 'APR': '0.29', 'FKPR': '0.05', 'KMAX': '13'}","{'RND': '70', 'KPR': '0.51', 'APR': '0.09', 'FKPR': '0.03', 'KMAX': '17'}","{'RND': '87', 'KPR': '0.62', 'APR': '0.59', 'FKPR': '0.05', 'KMAX': '33'}","{'RND': '22', 'KPR': '0.23', 'APR': '0.45', 'FKPR': '0.09', 'KMAX': '5'}"
31254,FETA,"{'RND': '42', 'KPR': '0.98', 'APR': '0.14', 'FKPR': '0.29', 'KMAX': '22'}","{'RND': '19', 'KPR': '1.26', 'APR': '0.16', 'FKPR': '0.32', 'KMAX': '24'}","{'RND': '46', 'KPR': '0.76', 'APR': '0.17', 'FKPR': '0.15', 'KMAX': '18'}","{'RND': '99', 'KPR': '0.87', 'APR': '0.09', 'FKPR': '0.18', 'KMAX': '33'}","{'RND': '70', 'KPR': '0.89', 'APR': '0.17', 'FKPR': '0.26', 'KMAX': '29'}","{'RND': '87', 'KPR': '0.82', 'APR': '0.18', 'FKPR': '0.24', 'KMAX': '22'}","{'RND': '22', 'KPR': '0.86', 'APR': '0.14', 'FKPR': '0.18', 'KMAX': '19'}"
14170,McKinley,"{'RND': '42', 'KPR': '0.67', 'APR': '0.33', 'FKPR': '0.07', 'KMAX': '15'}","{'RND': '19', 'KPR': '1.21', 'APR': '0.42', 'FKPR': '0.05', 'KMAX': '23'}","{'RND': '46', 'KPR': '0.74', 'APR': '0.22', 'FKPR': '0.11', 'KMAX': '17'}","{'RND': '99', 'KPR': '0.97', 'APR': '0.18', 'FKPR': '0.03', 'KMAX': '35'}","{'RND': '70', 'KPR': '0.56', 'APR': '0.33', 'FKPR': '0.03', 'KMAX': '14'}","{'RND': '87', 'KPR': '0.72', 'APR': '0.30', 'FKPR': '0.10', 'KMAX': '19'}","{'RND': '22', 'KPR': '0.86', 'APR': '0.27', 'FKPR': '0.09', 'KMAX': '19'}"
29821,Sinaway,"{'RND': '42', 'KPR': '0.74', 'APR': '0.26', 'FKPR': '0.07', 'KMAX': '16'}","{'RND': '19', 'KPR': '0.95', 'APR': '0.16', 'FKPR': '0.00', 'KMAX': '18'}","{'RND': '46', 'KPR': '0.89', 'APR': '0.22', 'FKPR': '0.07', 'KMAX': '23'}","{'RND': '99', 'KPR': '0.71', 'APR': '0.12', 'FKPR': '0.05', 'KMAX': '31'}","{'RND': '70', 'KPR': '0.69', 'APR': '0.26', 'FKPR': '0.10', 'KMAX': '19'}","{'RND': '87', 'KPR': '1.08', 'APR': '0.23', 'FKPR': '0.14', 'KMAX': '27'}","{'RND': '22', 'KPR': '0.82', 'APR': '0.14', 'FKPR': '0.14', 'KMAX': '18'}"
31255,BiggieCheese,"{'RND': '42', 'KPR': '0.48', 'APR': '0.62', 'FKPR': '0.05', 'KMAX': '10'}","{'RND': '19', 'KPR': '0.37', 'APR': '0.32', 'FKPR': '0.00', 'KMAX': '7'}","{'RND': '46', 'KPR': '0.65', 'APR': '0.15', 'FKPR': '0.11', 'KMAX': '18'}","{'RND': '99', 'KPR': '0.63', 'APR': '0.17', 'FKPR': '0.05', 'KMAX': '18'}","{'RND': '70', 'KPR': '0.86', 'APR': '0.31', 'FKPR': '0.11', 'KMAX': '24'}","{'RND': '87', 'KPR': '0.68', 'APR': '0.31', 'FKPR': '0.06', 'KMAX': '19'}","{'RND': '22', 'KPR': '0.82', 'APR': '0.18', 'FKPR': '0.05', 'KMAX': '18'}"
