,,RND,KPR,APR,FKPR,KMAX
FETA,split_stats,87,0.82,0.18,0.24,22
FETA,sunset_stats,22,0.86,0.14,0.18,19
ScrewFace,ascent_stats,21,0.90,1.00,0.10,19
ScrewFace,bind_stats,21,0.71,0.52,0.10,15
ScrewFace,icebox_stats,19,0.68,0.26,0.11,13
ScrewFace,lotus_stats,24,0.50,0.13,0.04,12
plant,ascent_stats,20,0.95,0.60,0.10,19
Tacolilla,ascent_stats,24,1.13,0.29,0.25,27
Tacolilla,lotus_stats,20,1.05,0.10,0.30,21
Ethan,ascent_stats,21,1.29,0.43,0.05,27
Ethan,bind_stats,17,0.41,0.35,0.00,7
Ethan,breeze_stats,60,0.70,0.27,0.08,19
Ethan,split_stats,53,0.53,0.49,0.04,15
Ethan,sunset_stats,62,0.55,0.48,0.05,16
lexa,ascent_stats,18,1.06,0.22,0.11,19
lexa,bind_stats,42,0.71,0.29,0.05,15
lexa,breeze_stats,24,0.67,0.38,0.08,16
lexa,icebox_stats,39,0.56,0.10,0.08,13
lexa,lotus_stats,122,0.78,0.12,0.08,24
lexa,split_stats,66,1.18,0.14,0.17,30
M1kE,ascent_stats,103,1.06,0.17,0.07,26
M1kE,icebox_stats,87,0.86,0.13,0.07,23
M1kE,lotus_stats,78,0.76,0.17,0.12,19
M1kE,split_stats,37,0.65,0.11,0.08,17
Poetite,ascent_stats,18,0.83,0.56,0.17,15
Poetite,bind_stats,42,0.50,0.50,0.07,14
Poetite,breeze_stats,24,0.83,0.13,0.13,20
Poetite,icebox_stats,39,0.51,0.21,0.05,12
Poetite,lotus_stats,122,0.56,0.30,0.08,18
Poetite,split_stats,66,0.56,0.59,0.08,14
Arduino,ascent_stats,39,0.92,0.38,0.08,19
Arduino,bind_stats,22,0.95,0.36,0.05,21
Arduino,breeze_stats,39,1.00,0.26,0.05,20
Arduino,icebox_stats,16,0.56,0.00,0.06,9
Arduino,lotus_stats,15,0.47,0.00,0.07,7
Arduino,split_stats,23,0.65,0.17,0.09,15
Arduino,sunset_stats,41,0.85,0.07,0.07,24
RND,ascent_stats,55,1.05,0.22,0.29,22
RND,bind_stats,54,0.85,0.19,0.28,20
RND,breeze_stats,109,0.75,0.12,0.15,19
RND,icebox_stats,65,0.92,0.14,0.20,25
