id,user,ascent_stats,bind_stats,icebox_stats,lotus_stats,split_stats,sunset_stats,breeze_stats
3020,coldfish,"{'RND': '43', 'KPR': '0.63', 'APR': '0.21', 'FKPR': '', 'KMAX': '14'}","{'RND': '26', 'KPR': '0.42', 'APR': '0.35', 'FKPR': '', 'KMAX': '11'}","{'RND': '23', 'KPR': '0.91', 'APR': '0.09', 'FKPR': '', 'KMAX': '21'}","{'RND': '65', 'KPR': '0.38', 'APR': '0.38', 'FKPR': '', 'KMAX': '12'}","{'RND': '18', 'KPR': '1.33', 'APR': '0.56', 'FKPR': '', 'KMAX': '24'}","{'RND': '22', 'KPR': '0.77', 'APR': '0.27', 'FKPR': '', 'KMAX': '17'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
871,pl1xx,"{'RND': '43', 'KPR': '0.33', 'APR': '0.44', 'FKPR': '', 'KMAX': '11'}","{'RND': '26', 'KPR': '0.58', 'APR': '0.27', 'FKPR': '', 'KMAX': '15'}","{'RND': '23', 'KPR': '0.74', 'APR': '0.22', 'FKPR': '', 'KMAX': '17'}","{'RND': '65', 'KPR': '0.63', 'APR': '0.37', 'FKPR': '', 'KMAX': '19'}","{'RND': '18', 'KPR': '0.56', 'APR': '0.22', 'FKPR': '', 'KMAX': '10'}","{'RND': '22', 'KPR': '0.77', 'APR': '0.23', 'FKPR': '', 'KMAX': '17'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
1162,Russ,"{'RND': '21', 'KPR': '0.81', 'APR': '0.43', 'FKPR': '0.19', 'KMAX': '17'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '54', 'KPR': '0.65', 'APR': '0.20', 'FKPR': '0.06', 'KMAX': '14'}","{'RND': '61', 'KPR': '0.59', 'APR': '0.16', 'FKPR': '0.05', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.59', 'APR': '0.41', 'FKPR': '0.00', 'KMAX': '10'}","{'RND': '26', 'KPR': '0.81', 'APR': '0.46', 'FKPR': '0.04', 'KMAX': '21'}"
1743,blaZek1ng,"{'RND': '21', 'KPR': '0.24', 'APR': '0.29', 'FKPR': '0.00', 'KMAX': '5'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '54', 'KPR': '0.76', 'APR': '0.50', 'FKPR': '0.11', 'KMAX': '20'}","{'RND': '61', 'KPR': '0.80', 'APR': '0.30', 'FKPR': '0.13', 'KMAX': '22'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.76', 'APR': '0.18', 'FKPR': '0.24', 'KMAX': '13'}","{'RND': '26', 'KPR': '0.50', 'APR': '0.15', 'FKPR': '0.12', 'KMAX': '13'}"
3626,Lightningfast,"{'RND': '21', 'KPR': '0.76', 'APR': '0.48', 'FKPR': '0.10', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '54', 'KPR': '0.85', 'APR': '0.43', 'FKPR': '0.06', 'KMAX': '24'}","{'RND': '61', 'KPR': '0.54', 'APR': '0.36', 'FKPR': '0.11', 'KMAX': '14'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.41', 'APR': '0.24', 'FKPR': '0.12', 'KMAX': '7'}","{'RND': '26', 'KPR': '0.85', 'APR': '0.42', 'FKPR': '0.08', 'KMAX': '22'}"
1839,Polvi,"{'RND': '21', 'KPR': '0.76', 'APR': '0.10', 'FKPR': '0.14', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '54', 'KPR': '0.94', 'APR': '0.22', 'FKPR': '0.20', 'KMAX': '18'}","{'RND': '61', 'KPR': '0.61', 'APR': '0.16', 'FKPR': '0.16', 'KMAX': '21'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.65', 'APR': '0.18', 'FKPR': '0.12', 'KMAX': '11'}","{'RND': '26', 'KPR': '0.62', 'APR': '0.23', 'FKPR': '0.31', 'KMAX': '16'}"
9802,Benkai,"{'RND': '21', 'KPR': '0.38', 'APR': '0.14', 'FKPR': '0.05', 'KMAX': '8'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '54', 'KPR': '0.57', 'APR': '0.15', 'FKPR': '0.02', 'KMAX': '12'}","{'RND': '61', 'KPR': '0.64', 'APR': '0.13', 'FKPR': '0.13', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '17', 'KPR': '0.35', 'APR': '0.24', 'FKPR': '0.00', 'KMAX': '6'}","{'RND': '26', 'KPR': '0.69', 'APR': '0.19', 'FKPR': '0.00', 'KMAX': '18'}"
993,Medusa,"{'RND': '40', 'KPR': '0.63', 'APR': '0.20', 'FKPR': '0.10', 'KMAX': '19'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '77', 'KPR': '0.68', 'APR': '0.29', 'FKPR': '0.06', 'KMAX': '16'}","{'RND': '41', 'KPR': '0.56', 'APR': '0.32', 'FKPR': '0.10', 'KMAX': '13'}","{'RND': '39', 'KPR': '0.59', 'APR': '0.21', 'FKPR': '0.18', 'KMAX': '16'}","{'RND': '22', 'KPR': '0.73', 'APR': '0.32', 'FKPR': '0.23', 'KMAX': '16'}"
1970,neth,"{'RND': '40', 'KPR': '0.43', 'APR': '0.15', 'FKPR': '0.03', 'KMAX': '12'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '77', 'KPR': '0.60', 'APR': '0.17', 'FKPR': '0.05', 'KMAX': '14'}","{'RND': '41', 'KPR': '0.39', 'APR': '0.15', 'FKPR': '0.07', 'KMAX': '8'}","{'RND': '39', 'KPR': '0.72', 'APR': '0.18', 'FKPR': '0.03', 'KMAX': '23'}","{'RND': '22', 'KPR': '0.86', 'APR': '0.36', 'FKPR': '0.05', 'KMAX': '19'}"
6672,Meiy,"{'RND': '40', 'KPR': '1.10', 'APR': '0.13', 'FKPR': '0.15', 'KMAX': '29'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '77', 'KPR': '0.78', 'APR': '0.18', 'FKPR': '0.21', 'KMAX': '25'}","{'RND': '41', 'KPR': '0.76', 'APR': '0.15', 'FKPR': '0.17', 'KMAX': '16'}","{'RND': '39', 'KPR': '0.74', 'APR': '0.23', 'FKPR': '0.15', 'KMAX': '18'}","{'RND': '22', 'KPR': '0.91', 'APR': '0.14', 'FKPR': '0.27', 'KMAX': '20'}"
21438,SSeeS,"{'RND': '40', 'KPR': '0.48', 'APR': '0.25', 'FKPR': '0.10', 'KMAX': '13'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '77', 'KPR': '0.65', 'APR': '0.34', 'FKPR': '0.03', 'KMAX': '17'}","{'RND': '41', 'KPR': '0.56', 'APR': '0.27', 'FKPR': '0.10', 'KMAX': '18'}","{'RND': '39', 'KPR': '0.51', 'APR': '0.44', 'FKPR': '0.00', 'KMAX': '12'}","{'RND': '22', 'KPR': '0.32', 'APR': '0.55', 'FKPR': '0.05', 'KMAX': '7'}"
6700,Anthem,"{'RND': '40', 'KPR': '0.48', 'APR': '0.63', 'FKPR': '0.05', 'KMAX': '12'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '77', 'KPR': '0.48', 'APR': '0.29', 'FKPR': '0.05', 'KMAX': '14'}","{'RND': '41', 'KPR': '0.59', 'APR': '0.32', 'FKPR': '0.05', 'KMAX': '14'}","{'RND': '39', 'KPR': '0.49', 'APR': '0.23', 'FKPR': '0.05', 'KMAX': '15'}","{'RND': '22', 'KPR': '0.91', 'APR': '0.27', 'FKPR': '0.00', 'KMAX': '20'}"
7857,BerLIN,"{'RND': '53', 'KPR': '0.55', 'APR': '0.45', 'FKPR': '', 'KMAX': '15'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '64', 'KPR': '0.47', 'APR': '0.25', 'FKPR': '0.14', 'KMAX': '11'}","{'RND': '23', 'KPR': '0.61', 'APR': '0.48', 'FKPR': '0.17', 'KMAX': '14'}","{'RND': '19', 'KPR': '0.58', 'APR': '0.42', 'FKPR': '', 'KMAX': '11'}","{'RND': '34', 'KPR': '0.62', 'APR': '0.35', 'FKPR': '0.11', 'KMAX': '13'}","{'RND': '93', 'KPR': '0.73', 'APR': '0.27', 'FKPR': '0.08', 'KMAX': '26'}"
